"Depth (m)"	"5 keV/R"	"1 uR"	"1 mR"	"10 mR"	"20 mR"	"30 mR"	"40 mR"	"50 mR"	"75 mR"	"100 mR"
2.17E-04	9.26E+08	9.26E+02	9.26E+05	9.26E+06	1.85E+07	2.78E+07	3.71E+07	4.63E+07	69482925	9.26E+07
2.17E-04	9.06E+08	9.06E+02	9.06E+05	9.06E+06	1.81E+07	2.72E+07	3.62E+07	4.53E+07	67914225	9.06E+07
2.18E-04	8.85E+08	8.85E+02	8.85E+05	8.85E+06	1.77E+07	2.66E+07	3.54E+07	4.43E+07	66380925	8.85E+07
2.18E-04	8.65E+08	8.65E+02	8.65E+05	8.65E+06	1.73E+07	2.60E+07	3.46E+07	4.33E+07	64882200	8.65E+07
2.18E-04	8.46E+08	8.46E+02	8.46E+05	8.46E+06	1.69E+07	2.54E+07	3.38E+07	4.23E+07	63417375	8.46E+07
2.19E-04	8.26E+08	8.26E+02	8.26E+05	8.26E+06	1.65E+07	2.48E+07	3.31E+07	4.13E+07	61985625	8.26E+07
2.19E-04	8.08E+08	8.08E+02	8.08E+05	8.08E+06	1.62E+07	2.42E+07	3.23E+07	4.04E+07	60586200	8.08E+07
2.20E-04	7.90E+08	7.90E+02	7.90E+05	7.90E+06	1.58E+07	2.37E+07	3.16E+07	3.95E+07	59218350	7.90E+07
2.20E-04	7.72E+08	7.72E+02	7.72E+05	7.72E+06	1.54E+07	2.32E+07	3.09E+07	3.86E+07	57881325	7.72E+07
2.20E-04	7.54E+08	7.54E+02	7.54E+05	7.54E+06	1.51E+07	2.26E+07	3.02E+07	3.77E+07	56574600	7.54E+07
2.21E-04	7.37E+08	7.37E+02	7.37E+05	7.37E+06	1.47E+07	2.21E+07	2.95E+07	3.69E+07	55297275	7.37E+07
2.21E-04	7.21E+08	7.21E+02	7.21E+05	7.21E+06	1.44E+07	2.16E+07	2.88E+07	3.60E+07	54048825	7.21E+07
2.22E-04	7.04E+08	7.04E+02	7.04E+05	7.04E+06	1.41E+07	2.11E+07	2.82E+07	3.52E+07	52828575	7.04E+07
2.22E-04	6.88E+08	6.88E+02	6.88E+05	6.88E+06	1.38E+07	2.07E+07	2.75E+07	3.44E+07	51635850	6.88E+07
2.22E-04	6.73E+08	6.73E+02	6.73E+05	6.73E+06	1.35E+07	2.02E+07	2.69E+07	3.36E+07	50470125	6.73E+07
2.23E-04	6.58E+08	6.58E+02	6.58E+05	6.58E+06	1.32E+07	1.97E+07	2.63E+07	3.29E+07	49330650	6.58E+07
2.23E-04	6.43E+08	6.43E+02	6.43E+05	6.43E+06	1.29E+07	1.93E+07	2.57E+07	3.21E+07	48216900	6.43E+07
2.24E-04	6.28E+08	6.28E+02	6.28E+05	6.28E+06	1.26E+07	1.89E+07	2.51E+07	3.14E+07	47128350	6.28E+07
2.24E-04	6.14E+08	6.14E+02	6.14E+05	6.14E+06	1.23E+07	1.84E+07	2.46E+07	3.07E+07	46064325	6.14E+07
2.24E-04	6.00E+08	6.00E+02	6.00E+05	6.00E+06	1.20E+07	1.80E+07	2.40E+07	3.00E+07	45024300	6.00E+07
2.25E-04	5.87E+08	5.87E+02	5.87E+05	5.87E+06	1.17E+07	1.76E+07	2.35E+07	2.93E+07	44007825	5.87E+07
2.25E-04	5.74E+08	5.74E+02	5.74E+05	5.74E+06	1.15E+07	1.72E+07	2.29E+07	2.87E+07	43014225	5.74E+07
2.26E-04	5.61E+08	5.61E+02	5.61E+05	5.61E+06	1.12E+07	1.68E+07	2.24E+07	2.80E+07	42043125	5.61E+07
2.26E-04	5.48E+08	5.48E+02	5.48E+05	5.48E+06	1.10E+07	1.64E+07	2.19E+07	2.74E+07	41093925	5.48E+07
2.26E-04	5.36E+08	5.36E+02	5.36E+05	5.36E+06	1.07E+07	1.61E+07	2.14E+07	2.68E+07	40166175	5.36E+07
2.27E-04	5.23E+08	5.23E+02	5.23E+05	5.23E+06	1.05E+07	1.57E+07	2.09E+07	2.62E+07	39259350	5.23E+07
2.27E-04	5.12E+08	5.12E+02	5.12E+05	5.12E+06	1.02E+07	1.53E+07	2.05E+07	2.56E+07	38372925	5.12E+07
2.28E-04	5.00E+08	5.00E+02	5.00E+05	5.00E+06	1.00E+07	1.50E+07	2.00E+07	2.50E+07	37506600	5.00E+07
2.28E-04	4.89E+08	4.89E+02	4.89E+05	4.89E+06	9.78E+06	1.47E+07	1.96E+07	2.44E+07	36659850	4.89E+07
2.28E-04	4.78E+08	4.78E+02	4.78E+05	4.78E+06	9.56E+06	1.43E+07	1.91E+07	2.39E+07	35832150	4.78E+07
2.29E-04	4.67E+08	4.67E+02	4.67E+05	4.67E+06	9.34E+06	1.40E+07	1.87E+07	2.33E+07	35023200	4.67E+07
2.29E-04	4.56E+08	4.56E+02	4.56E+05	4.56E+06	9.13E+06	1.37E+07	1.83E+07	2.28E+07	34232475	4.56E+07
2.30E-04	4.46E+08	4.46E+02	4.46E+05	4.46E+06	8.92E+06	1.34E+07	1.78E+07	2.23E+07	33459600	4.46E+07
2.30E-04	4.36E+08	4.36E+02	4.36E+05	4.36E+06	8.72E+06	1.31E+07	1.74E+07	2.18E+07	32704200	4.36E+07
2.30E-04	4.26E+08	4.26E+02	4.26E+05	4.26E+06	8.52E+06	1.28E+07	1.70E+07	2.13E+07	31965825	4.26E+07
2.31E-04	4.17E+08	4.17E+02	4.17E+05	4.17E+06	8.33E+06	1.25E+07	1.67E+07	2.08E+07	31244175	4.17E+07
2.31E-04	4.07E+08	4.07E+02	4.07E+05	4.07E+06	8.14E+06	1.22E+07	1.63E+07	2.04E+07	30538725	4.07E+07
2.32E-04	3.98E+08	3.98E+02	3.98E+05	3.98E+06	7.96E+06	1.19E+07	1.59E+07	1.99E+07	29849250	3.98E+07
2.32E-04	3.89E+08	3.89E+02	3.89E+05	3.89E+06	7.78E+06	1.17E+07	1.56E+07	1.95E+07	29175375	3.89E+07
2.32E-04	3.80E+08	3.80E+02	3.80E+05	3.80E+06	7.60E+06	1.14E+07	1.52E+07	1.90E+07	28516650	3.80E+07
2.33E-04	3.72E+08	3.72E+02	3.72E+05	3.72E+06	7.43E+06	1.11E+07	1.49E+07	1.86E+07	27872850	3.72E+07
2.33E-04	3.63E+08	3.63E+02	3.63E+05	3.63E+06	7.26E+06	1.09E+07	1.45E+07	1.82E+07	27243600	3.63E+07
2.34E-04	3.55E+08	3.55E+02	3.55E+05	3.55E+06	7.10E+06	1.07E+07	1.42E+07	1.78E+07	26628525	3.55E+07
2.34E-04	3.47E+08	3.47E+02	3.47E+05	3.47E+06	6.94E+06	1.04E+07	1.39E+07	1.74E+07	26027325	3.47E+07
2.34E-04	3.39E+08	3.39E+02	3.39E+05	3.39E+06	6.78E+06	1.02E+07	1.36E+07	1.70E+07	25439700	3.39E+07
2.35E-04	3.32E+08	3.32E+02	3.32E+05	3.32E+06	6.63E+06	9.95E+06	1.33E+07	1.66E+07	24865350	3.32E+07
2.35E-04	3.24E+08	3.24E+02	3.24E+05	3.24E+06	6.48E+06	9.72E+06	1.30E+07	1.62E+07	24303975	3.24E+07
2.36E-04	3.17E+08	3.17E+02	3.17E+05	3.17E+06	6.33E+06	9.50E+06	1.27E+07	1.58E+07	23755275	3.17E+07
2.36E-04	3.10E+08	3.10E+02	3.10E+05	3.10E+06	6.19E+06	9.29E+06	1.24E+07	1.55E+07	23218950	3.10E+07
2.36E-04	3.03E+08	3.03E+02	3.03E+05	3.03E+06	6.05E+06	9.08E+06	1.21E+07	1.51E+07	22694700	3.03E+07
2.37E-04	2.96E+08	2.96E+02	2.96E+05	2.96E+06	5.92E+06	8.87E+06	1.18E+07	1.48E+07	22182375	2.96E+07
2.37E-04	2.89E+08	2.89E+02	2.89E+05	2.89E+06	5.78E+06	8.67E+06	1.16E+07	1.45E+07	21681525	2.89E+07
2.38E-04	2.83E+08	2.83E+02	2.83E+05	2.83E+06	5.65E+06	8.48E+06	1.13E+07	1.41E+07	21192000	2.83E+07
2.38E-04	2.76E+08	2.76E+02	2.76E+05	2.76E+06	5.52E+06	8.29E+06	1.10E+07	1.38E+07	20713575	2.76E+07
2.38E-04	2.70E+08	2.70E+02	2.70E+05	2.70E+06	5.40E+06	8.10E+06	1.08E+07	1.35E+07	20245950	2.70E+07
2.39E-04	2.64E+08	2.64E+02	2.64E+05	2.64E+06	5.28E+06	7.92E+06	1.06E+07	1.32E+07	19788825	2.64E+07
2.39E-04	2.58E+08	2.58E+02	2.58E+05	2.58E+06	5.16E+06	7.74E+06	1.03E+07	1.29E+07	19342050	2.58E+07
2.40E-04	2.52E+08	2.52E+02	2.52E+05	2.52E+06	5.04E+06	7.56E+06	1.01E+07	1.26E+07	18905400	2.52E+07
2.40E-04	2.46E+08	2.46E+02	2.46E+05	2.46E+06	4.93E+06	7.39E+06	9.86E+06	1.23E+07	18478575	2.46E+07
2.40E-04	2.41E+08	2.41E+02	2.41E+05	2.41E+06	4.82E+06	7.22E+06	9.63E+06	1.20E+07	18061350	2.41E+07
2.41E-04	2.35E+08	2.35E+02	2.35E+05	2.35E+06	4.71E+06	7.06E+06	9.42E+06	1.18E+07	17653575	2.35E+07
2.41E-04	2.30E+08	2.30E+02	2.30E+05	2.30E+06	4.60E+06	6.90E+06	9.20E+06	1.15E+07	17255025	2.30E+07
2.42E-04	2.25E+08	2.25E+02	2.25E+05	2.25E+06	4.50E+06	6.75E+06	8.99E+06	1.12E+07	16865475	2.25E+07
2.42E-04	2.20E+08	2.20E+02	2.20E+05	2.20E+06	4.40E+06	6.59E+06	8.79E+06	1.10E+07	16484700	2.20E+07
2.42E-04	2.15E+08	2.15E+02	2.15E+05	2.15E+06	4.30E+06	6.45E+06	8.59E+06	1.07E+07	16112550	2.15E+07
2.43E-04	2.10E+08	2.10E+02	2.10E+05	2.10E+06	4.20E+06	6.30E+06	8.40E+06	1.05E+07	15748725	2.10E+07
