"Depth (m)"	"5 keV/R"	"1 uR"	"1 mR"	"10 mR"	"20 mR"	"30 mR"	"40 mR"	"50 mR"	"75 mR"	"100 mR"
2.62E-04	7.18E+07	7.18E+01	7.18E+04	7.18E+05	1.44E+06	2.15E+06	2.87E+06	3.59E+06	5384287.5	7.18E+06
2.62E-04	7.02E+07	7.02E+01	7.02E+04	7.02E+05	1.40E+06	2.11E+06	2.81E+06	3.51E+06	5262727.5	7.02E+06
2.62E-04	6.86E+07	6.86E+01	6.86E+04	6.86E+05	1.37E+06	2.06E+06	2.74E+06	3.43E+06	5143912.5	6.86E+06
2.63E-04	6.70E+07	6.70E+01	6.70E+04	6.70E+05	1.34E+06	2.01E+06	2.68E+06	3.35E+06	5027775	6.70E+06
2.63E-04	6.55E+07	6.55E+01	6.55E+04	6.55E+05	1.31E+06	1.97E+06	2.62E+06	3.28E+06	4914262.5	6.55E+06
2.64E-04	6.40E+07	6.40E+01	6.40E+04	6.40E+05	1.28E+06	1.92E+06	2.56E+06	3.20E+06	4803315	6.40E+06
2.64E-04	6.26E+07	6.26E+01	6.26E+04	6.26E+05	1.25E+06	1.88E+06	2.50E+06	3.13E+06	4694872.5	6.26E+06
2.64E-04	6.12E+07	6.12E+01	6.12E+04	6.12E+05	1.22E+06	1.84E+06	2.45E+06	3.06E+06	4588875	6.12E+06
2.65E-04	5.98E+07	5.98E+01	5.98E+04	5.98E+05	1.20E+06	1.79E+06	2.39E+06	2.99E+06	4485270	5.98E+06
2.65E-04	5.85E+07	5.85E+01	5.85E+04	5.85E+05	1.17E+06	1.75E+06	2.34E+06	2.92E+06	4384012.5	5.85E+06
2.66E-04	5.71E+07	5.71E+01	5.71E+04	5.71E+05	1.14E+06	1.71E+06	2.29E+06	2.86E+06	4285035	5.71E+06
2.66E-04	5.58E+07	5.58E+01	5.58E+04	5.58E+05	1.12E+06	1.68E+06	2.23E+06	2.79E+06	4188292.5	5.58E+06
2.66E-04	5.46E+07	5.46E+01	5.46E+04	5.46E+05	1.09E+06	1.64E+06	2.18E+06	2.73E+06	4093732.5	5.46E+06
2.67E-04	5.34E+07	5.34E+01	5.34E+04	5.34E+05	1.07E+06	1.60E+06	2.13E+06	2.67E+06	4001310	5.34E+06
2.67E-04	5.21E+07	5.21E+01	5.21E+04	5.21E+05	1.04E+06	1.56E+06	2.09E+06	2.61E+06	3910972.5	5.21E+06
2.68E-04	5.10E+07	5.10E+01	5.10E+04	5.10E+05	1.02E+06	1.53E+06	2.04E+06	2.55E+06	3822675	5.10E+06
2.68E-04	4.98E+07	4.98E+01	4.98E+04	4.98E+05	9.96E+05	1.49E+06	1.99E+06	2.49E+06	3736365	4.98E+06
2.68E-04	4.87E+07	4.87E+01	4.87E+04	4.87E+05	9.74E+05	1.46E+06	1.95E+06	2.43E+06	3652012.5	4.87E+06
2.69E-04	4.76E+07	4.76E+01	4.76E+04	4.76E+05	9.52E+05	1.43E+06	1.90E+06	2.38E+06	3569557.5	4.76E+06
2.69E-04	4.65E+07	4.65E+01	4.65E+04	4.65E+05	9.30E+05	1.40E+06	1.86E+06	2.33E+06	3488970	4.65E+06
2.70E-04	4.55E+07	4.55E+01	4.55E+04	4.55E+05	9.09E+05	1.36E+06	1.82E+06	2.27E+06	3410197.5	4.55E+06
2.70E-04	4.44E+07	4.44E+01	4.44E+04	4.44E+05	8.89E+05	1.33E+06	1.78E+06	2.22E+06	3333210	4.44E+06
2.70E-04	4.34E+07	4.34E+01	4.34E+04	4.34E+05	8.69E+05	1.30E+06	1.74E+06	2.17E+06	3257955	4.34E+06
2.71E-04	4.25E+07	4.25E+01	4.25E+04	4.25E+05	8.49E+05	1.27E+06	1.70E+06	2.12E+06	3184402.5	4.25E+06
2.71E-04	4.15E+07	4.15E+01	4.15E+04	4.15E+05	8.30E+05	1.25E+06	1.66E+06	2.08E+06	3112507.5	4.15E+06
2.72E-04	4.06E+07	4.06E+01	4.06E+04	4.06E+05	8.11E+05	1.22E+06	1.62E+06	2.03E+06	3042240	4.06E+06
2.72E-04	3.96E+07	3.96E+01	3.96E+04	3.96E+05	7.93E+05	1.19E+06	1.59E+06	1.98E+06	2973555	3.96E+06
2.72E-04	3.88E+07	3.88E+01	3.88E+04	3.88E+05	7.75E+05	1.16E+06	1.55E+06	1.94E+06	2906415	3.88E+06
2.73E-04	3.79E+07	3.79E+01	3.79E+04	3.79E+05	7.58E+05	1.14E+06	1.52E+06	1.89E+06	2840797.5	3.79E+06
2.73E-04	3.70E+07	3.70E+01	3.70E+04	3.70E+05	7.40E+05	1.11E+06	1.48E+06	1.85E+06	2776665	3.70E+06
2.74E-04	3.62E+07	3.62E+01	3.62E+04	3.62E+05	7.24E+05	1.09E+06	1.45E+06	1.81E+06	2713972.5	3.62E+06
2.74E-04	3.54E+07	3.54E+01	3.54E+04	3.54E+05	7.07E+05	1.06E+06	1.41E+06	1.77E+06	2652705	3.54E+06
2.74E-04	3.46E+07	3.46E+01	3.46E+04	3.46E+05	6.91E+05	1.04E+06	1.38E+06	1.73E+06	2592810	3.46E+06
2.75E-04	3.38E+07	3.38E+01	3.38E+04	3.38E+05	6.76E+05	1.01E+06	1.35E+06	1.69E+06	2534272.5	3.38E+06
2.75E-04	3.30E+07	3.30E+01	3.30E+04	3.30E+05	6.61E+05	9.91E+05	1.32E+06	1.65E+06	2477055	3.30E+06
2.76E-04	3.23E+07	3.23E+01	3.23E+04	3.23E+05	6.46E+05	9.68E+05	1.29E+06	1.61E+06	2421135	3.23E+06
2.76E-04	3.16E+07	3.16E+01	3.16E+04	3.16E+05	6.31E+05	9.47E+05	1.26E+06	1.58E+06	2366475	3.16E+06
2.76E-04	3.08E+07	3.08E+01	3.08E+04	3.08E+05	6.17E+05	9.25E+05	1.23E+06	1.54E+06	2313045	3.08E+06
2.77E-04	3.01E+07	3.01E+01	3.01E+04	3.01E+05	6.03E+05	9.04E+05	1.21E+06	1.51E+06	2260822.5	3.01E+06
2.77E-04	2.95E+07	2.95E+01	2.95E+04	2.95E+05	5.89E+05	8.84E+05	1.18E+06	1.47E+06	2209777.5	2.95E+06
2.78E-04	2.88E+07	2.88E+01	2.88E+04	2.88E+05	5.76E+05	8.64E+05	1.15E+06	1.44E+06	2159887.5	2.88E+06
2.78E-04	2.81E+07	2.81E+01	2.81E+04	2.81E+05	5.63E+05	8.44E+05	1.13E+06	1.41E+06	2111130	2.81E+06
2.78E-04	2.75E+07	2.75E+01	2.75E+04	2.75E+05	5.50E+05	8.25E+05	1.10E+06	1.38E+06	2063467.5	2.75E+06
2.79E-04	2.69E+07	2.69E+01	2.69E+04	2.69E+05	5.38E+05	8.07E+05	1.08E+06	1.34E+06	2016877.5	2.69E+06
2.79E-04	2.63E+07	2.63E+01	2.63E+04	2.63E+05	5.26E+05	7.89E+05	1.05E+06	1.31E+06	1971345	2.63E+06
2.80E-04	2.57E+07	2.57E+01	2.57E+04	2.57E+05	5.14E+05	7.71E+05	1.03E+06	1.28E+06	1926832.5	2.57E+06
2.80E-04	2.51E+07	2.51E+01	2.51E+04	2.51E+05	5.02E+05	7.53E+05	1.00E+06	1.26E+06	1883332.5	2.51E+06
2.80E-04	2.45E+07	2.45E+01	2.45E+04	2.45E+05	4.91E+05	7.36E+05	9.82E+05	1.23E+06	1840815	2.45E+06
2.81E-04	2.40E+07	2.40E+01	2.40E+04	2.40E+05	4.80E+05	7.20E+05	9.60E+05	1.20E+06	1799257.5	2.40E+06
2.81E-04	2.34E+07	2.34E+01	2.34E+04	2.34E+05	4.69E+05	7.03E+05	9.38E+05	1.17E+06	1758630	2.34E+06
2.82E-04	2.29E+07	2.29E+01	2.29E+04	2.29E+05	4.58E+05	6.88E+05	9.17E+05	1.15E+06	1718925	2.29E+06
2.82E-04	2.24E+07	2.24E+01	2.24E+04	2.24E+05	4.48E+05	6.72E+05	8.96E+05	1.12E+06	1680120	2.24E+06
2.82E-04	2.19E+07	2.19E+01	2.19E+04	2.19E+05	4.38E+05	6.57E+05	8.76E+05	1.09E+06	1642185	2.19E+06
2.83E-04	2.14E+07	2.14E+01	2.14E+04	2.14E+05	4.28E+05	6.42E+05	8.56E+05	1.07E+06	1605112.5	2.14E+06
2.83E-04	2.09E+07	2.09E+01	2.09E+04	2.09E+05	4.18E+05	6.28E+05	8.37E+05	1.05E+06	1568872.5	2.09E+06
2.84E-04	2.04E+07	2.04E+01	2.04E+04	2.04E+05	4.09E+05	6.13E+05	8.18E+05	1.02E+06	1533457.5	2.04E+06
2.84E-04	2.00E+07	2.00E+01	2.00E+04	2.00E+05	4.00E+05	6.00E+05	7.99E+05	9.99E+05	1498830	2.00E+06
2.84E-04	1.95E+07	1.95E+01	1.95E+04	1.95E+05	3.91E+05	5.86E+05	7.81E+05	9.77E+05	1464997.5	1.95E+06
2.85E-04	1.91E+07	1.91E+01	1.91E+04	1.91E+05	3.82E+05	5.73E+05	7.64E+05	9.55E+05	1431922.5	1.91E+06
2.85E-04	1.87E+07	1.87E+01	1.87E+04	1.87E+05	3.73E+05	5.60E+05	7.46E+05	9.33E+05	1399590	1.87E+06
2.86E-04	1.82E+07	1.82E+01	1.82E+04	1.82E+05	3.65E+05	5.47E+05	7.30E+05	9.12E+05	1367992.5	1.82E+06
2.86E-04	1.78E+07	1.78E+01	1.78E+04	1.78E+05	3.57E+05	5.35E+05	7.13E+05	8.91E+05	1337107.5	1.78E+06
2.86E-04	1.74E+07	1.74E+01	1.74E+04	1.74E+05	3.49E+05	5.23E+05	6.97E+05	8.71E+05	1306920	1.74E+06
2.87E-04	1.70E+07	1.70E+01	1.70E+04	1.70E+05	3.41E+05	5.11E+05	6.81E+05	8.52E+05	1277415	1.70E+06
2.87E-04	1.66E+07	1.66E+01	1.66E+04	1.66E+05	3.33E+05	4.99E+05	6.66E+05	8.32E+05	1248570	1.66E+06
2.88E-04	1.63E+07	1.63E+01	1.63E+04	1.63E+05	3.25E+05	4.88E+05	6.51E+05	8.14E+05	1220385	1.63E+06
2.88E-04	1.59E+07	1.59E+01	1.59E+04	1.59E+05	3.18E+05	4.77E+05	6.36E+05	7.95E+05	1192830	1.59E+06
2.88E-04	1.55E+07	1.55E+01	1.55E+04	1.55E+05	3.11E+05	4.66E+05	6.22E+05	7.77E+05	1165905	1.55E+06
2.89E-04	1.52E+07	1.52E+01	1.52E+04	1.52E+05	3.04E+05	4.56E+05	6.08E+05	7.60E+05	1139580	1.52E+06
2.89E-04	1.49E+07	1.49E+01	1.49E+04	1.49E+05	2.97E+05	4.46E+05	5.94E+05	7.43E+05	1113847.5	1.49E+06
2.90E-04	1.45E+07	1.45E+01	1.45E+04	1.45E+05	2.90E+05	4.35E+05	5.81E+05	7.26E+05	1088700	1.45E+06
2.90E-04	1.42E+07	1.42E+01	1.42E+04	1.42E+05	2.84E+05	4.26E+05	5.68E+05	7.09E+05	1064122.5	1.42E+06
2.90E-04	1.39E+07	1.39E+01	1.39E+04	1.39E+05	2.77E+05	4.16E+05	5.55E+05	6.93E+05	1040100	1.39E+06
2.91E-04	1.36E+07	1.36E+01	1.36E+04	1.36E+05	2.71E+05	4.07E+05	5.42E+05	6.78E+05	1016617.5	1.36E+06
2.91E-04	1.32E+07	1.32E+01	1.32E+04	1.32E+05	2.65E+05	3.97E+05	5.30E+05	6.62E+05	993667.5	1.32E+06
2.92E-04	1.29E+07	1.29E+01	1.29E+04	1.29E+05	2.59E+05	3.88E+05	5.18E+05	6.47E+05	971227.5	1.29E+06
2.92E-04	1.27E+07	1.27E+01	1.27E+04	1.27E+05	2.53E+05	3.80E+05	5.06E+05	6.33E+05	949305	1.27E+06
2.92E-04	1.24E+07	1.24E+01	1.24E+04	1.24E+05	2.47E+05	3.71E+05	4.95E+05	6.19E+05	927870	1.24E+06
2.93E-04	1.21E+07	1.21E+01	1.21E+04	1.21E+05	2.42E+05	3.63E+05	4.84E+05	6.05E+05	906922.5	1.21E+06
2.93E-04	1.18E+07	1.18E+01	1.18E+04	1.18E+05	2.36E+05	3.55E+05	4.73E+05	5.91E+05	886447.5	1.18E+06
2.94E-04	1.16E+07	1.16E+01	1.16E+04	1.16E+05	2.31E+05	3.47E+05	4.62E+05	5.78E+05	866437.5	1.16E+06
2.94E-04	1.13E+07	1.13E+01	1.13E+04	1.13E+05	2.26E+05	3.39E+05	4.52E+05	5.65E+05	846870	1.13E+06
2.94E-04	1.10E+07	1.10E+01	1.10E+04	1.10E+05	2.21E+05	3.31E+05	4.41E+05	5.52E+05	827752.5	1.10E+06
2.95E-04	1.08E+07	1.08E+01	1.08E+04	1.08E+05	2.16E+05	3.24E+05	4.32E+05	5.39E+05	809062.5	1.08E+06
2.95E-04	1.05E+07	1.05E+01	1.05E+04	1.05E+05	2.11E+05	3.16E+05	4.22E+05	5.27E+05	790800	1.05E+06
2.96E-04	1.03E+07	1.03E+01	1.03E+04	1.03E+05	2.06E+05	3.09E+05	4.12E+05	5.15E+05	772942.5	1.03E+06
2.96E-04	1.01E+07	1.01E+01	1.01E+04	1.01E+05	2.01E+05	3.02E+05	4.03E+05	5.04E+05	755497.5	1.01E+06
2.96E-04	9.85E+06	9.85E+00	9.85E+03	9.85E+04	1.97E+05	2.95E+05	3.94E+05	4.92E+05	738437.25	9.85E+05
2.97E-04	9.62E+06	9.62E+00	9.62E+03	9.62E+04	1.92E+05	2.89E+05	3.85E+05	4.81E+05	721765.5	9.62E+05
2.97E-04	9.41E+06	9.41E+00	9.41E+03	9.41E+04	1.88E+05	2.82E+05	3.76E+05	4.70E+05	705470.25	9.41E+05
2.98E-04	9.19E+06	9.19E+00	9.19E+03	9.19E+04	1.84E+05	2.76E+05	3.68E+05	4.60E+05	689543.25	9.19E+05
2.98E-04	8.99E+06	8.99E+00	8.99E+03	8.99E+04	1.80E+05	2.70E+05	3.59E+05	4.49E+05	673975.5	8.99E+05
2.98E-04	8.78E+06	8.78E+00	8.78E+03	8.78E+04	1.76E+05	2.64E+05	3.51E+05	4.39E+05	658758.75	8.78E+05
2.99E-04	8.59E+06	8.59E+00	8.59E+03	8.59E+04	1.72E+05	2.58E+05	3.43E+05	4.29E+05	643886.25	8.59E+05
2.99E-04	8.39E+06	8.39E+00	8.39E+03	8.39E+04	1.68E+05	2.52E+05	3.36E+05	4.20E+05	629349	8.39E+05
3.00E-04	8.20E+06	8.20E+00	8.20E+03	8.20E+04	1.64E+05	2.46E+05	3.28E+05	4.10E+05	615140.25	8.20E+05
3.00E-04	8.02E+06	8.02E+00	8.02E+03	8.02E+04	1.60E+05	2.41E+05	3.21E+05	4.01E+05	601252.5	8.02E+05
3.00E-04	7.84E+06	7.84E+00	7.84E+03	7.84E+04	1.57E+05	2.35E+05	3.13E+05	3.92E+05	587678.25	7.84E+05
3.01E-04	7.66E+06	7.66E+00	7.66E+03	7.66E+04	1.53E+05	2.30E+05	3.06E+05	3.83E+05	574410	7.66E+05
3.01E-04	7.49E+06	7.49E+00	7.49E+03	7.49E+04	1.50E+05	2.25E+05	2.99E+05	3.74E+05	561441.75	7.49E+05
3.02E-04	7.32E+06	7.32E+00	7.32E+03	7.32E+04	1.46E+05	2.20E+05	2.93E+05	3.66E+05	548766	7.32E+05
3.02E-04	7.15E+06	7.15E+00	7.15E+03	7.15E+04	1.43E+05	2.15E+05	2.86E+05	3.58E+05	536376.75	7.15E+05
3.02E-04	6.99E+06	6.99E+00	6.99E+03	6.99E+04	1.40E+05	2.10E+05	2.80E+05	3.50E+05	524267.25	6.99E+05
3.03E-04	6.83E+06	6.83E+00	6.83E+03	6.83E+04	1.37E+05	2.05E+05	2.73E+05	3.42E+05	512430.75	6.83E+05
3.03E-04	6.68E+06	6.68E+00	6.68E+03	6.68E+04	1.34E+05	2.00E+05	2.67E+05	3.34E+05	500861.25	6.68E+05
3.04E-04	6.53E+06	6.53E+00	6.53E+03	6.53E+04	1.31E+05	1.96E+05	2.61E+05	3.26E+05	489553.5	6.53E+05
3.04E-04	6.38E+06	6.38E+00	6.38E+03	6.38E+04	1.28E+05	1.91E+05	2.55E+05	3.19E+05	478500.75	6.38E+05
3.04E-04	6.24E+06	6.24E+00	6.24E+03	6.24E+04	1.25E+05	1.87E+05	2.49E+05	3.12E+05	467697.75	6.24E+05
3.05E-04	6.10E+06	6.10E+00	6.10E+03	6.10E+04	1.22E+05	1.83E+05	2.44E+05	3.05E+05	457138.5	6.10E+05
3.05E-04	5.96E+06	5.96E+00	5.96E+03	5.96E+04	1.19E+05	1.79E+05	2.38E+05	2.98E+05	446817.75	5.96E+05
3.06E-04	5.82E+06	5.82E+00	5.82E+03	5.82E+04	1.16E+05	1.75E+05	2.33E+05	2.91E+05	436730.25	5.82E+05
3.06E-04	5.69E+06	5.69E+00	5.69E+03	5.69E+04	1.14E+05	1.71E+05	2.28E+05	2.85E+05	426870	5.69E+05
3.06E-04	5.56E+06	5.56E+00	5.56E+03	5.56E+04	1.11E+05	1.67E+05	2.23E+05	2.78E+05	417232.5	5.56E+05
3.07E-04	5.44E+06	5.44E+00	5.44E+03	5.44E+04	1.09E+05	1.63E+05	2.18E+05	2.72E+05	407813.25	5.44E+05
3.07E-04	5.31E+06	5.31E+00	5.31E+03	5.31E+04	1.06E+05	1.59E+05	2.13E+05	2.66E+05	398605.5	5.31E+05
3.08E-04	5.19E+06	5.19E+00	5.19E+03	5.19E+04	1.04E+05	1.56E+05	2.08E+05	2.60E+05	389606.25	5.19E+05
3.08E-04	5.08E+06	5.08E+00	5.08E+03	5.08E+04	1.02E+05	1.52E+05	2.03E+05	2.54E+05	380810.25	5.08E+05
3.08E-04	4.96E+06	4.96E+00	4.96E+03	4.96E+04	9.93E+04	1.49E+05	1.99E+05	2.48E+05	372213	4.96E+05
3.09E-04	4.85E+06	4.85E+00	4.85E+03	4.85E+04	9.70E+04	1.46E+05	1.94E+05	2.43E+05	363809.25	4.85E+05
3.09E-04	4.74E+06	4.74E+00	4.74E+03	4.74E+04	9.48E+04	1.42E+05	1.90E+05	2.37E+05	355596	4.74E+05
3.10E-04	4.63E+06	4.63E+00	4.63E+03	4.63E+04	9.27E+04	1.39E+05	1.85E+05	2.32E+05	347567.25	4.63E+05
3.10E-04	4.53E+06	4.53E+00	4.53E+03	4.53E+04	9.06E+04	1.36E+05	1.81E+05	2.26E+05	339720.75	4.53E+05
3.10E-04	4.43E+06	4.43E+00	4.43E+03	4.43E+04	8.85E+04	1.33E+05	1.77E+05	2.21E+05	332050.5	4.43E+05
3.11E-04	4.33E+06	4.33E+00	4.33E+03	4.33E+04	8.65E+04	1.30E+05	1.73E+05	2.16E+05	324554.25	4.33E+05
3.11E-04	4.23E+06	4.23E+00	4.23E+03	4.23E+04	8.46E+04	1.27E+05	1.69E+05	2.11E+05	317226.75	4.23E+05
3.12E-04	4.13E+06	4.13E+00	4.13E+03	4.13E+04	8.27E+04	1.24E+05	1.65E+05	2.07E+05	310064.25	4.13E+05
3.12E-04	4.04E+06	4.04E+00	4.04E+03	4.04E+04	8.08E+04	1.21E+05	1.62E+05	2.02E+05	303064.5	4.04E+05
3.12E-04	3.95E+06	3.95E+00	3.95E+03	3.95E+04	7.90E+04	1.18E+05	1.58E+05	1.97E+05	296222.25	3.95E+05
3.13E-04	3.86E+06	3.86E+00	3.86E+03	3.86E+04	7.72E+04	1.16E+05	1.54E+05	1.93E+05	289534.5	3.86E+05
3.13E-04	3.77E+06	3.77E+00	3.77E+03	3.77E+04	7.55E+04	1.13E+05	1.51E+05	1.89E+05	282997.5	3.77E+05
3.14E-04	3.69E+06	3.69E+00	3.69E+03	3.69E+04	7.38E+04	1.11E+05	1.48E+05	1.84E+05	276608.25	3.69E+05
3.14E-04	3.60E+06	3.60E+00	3.60E+03	3.60E+04	7.21E+04	1.08E+05	1.44E+05	1.80E+05	270363	3.60E+05
3.14E-04	3.52E+06	3.52E+00	3.52E+03	3.52E+04	7.05E+04	1.06E+05	1.41E+05	1.76E+05	264259.5	3.52E+05
3.15E-04	3.44E+06	3.44E+00	3.44E+03	3.44E+04	6.89E+04	1.03E+05	1.38E+05	1.72E+05	258293.25	3.44E+05
3.15E-04	3.37E+06	3.37E+00	3.37E+03	3.37E+04	6.73E+04	1.01E+05	1.35E+05	1.68E+05	252462	3.37E+05
3.16E-04	3.29E+06	3.29E+00	3.29E+03	3.29E+04	6.58E+04	9.87E+04	1.32E+05	1.65E+05	246762	3.29E+05
3.16E-04	3.22E+06	3.22E+00	3.22E+03	3.22E+04	6.43E+04	9.65E+04	1.29E+05	1.61E+05	241191	3.22E+05
3.16E-04	3.14E+06	3.14E+00	3.14E+03	3.14E+04	6.29E+04	9.43E+04	1.26E+05	1.57E+05	235745.25	3.14E+05
3.17E-04	3.07E+06	3.07E+00	3.07E+03	3.07E+04	6.14E+04	9.22E+04	1.23E+05	1.54E+05	230423.25	3.07E+05
3.17E-04	3.00E+06	3.00E+00	3.00E+03	3.00E+04	6.01E+04	9.01E+04	1.20E+05	1.50E+05	225220.5	3.00E+05
3.18E-04	2.94E+06	2.94E+00	2.94E+03	2.94E+04	5.87E+04	8.81E+04	1.17E+05	1.47E+05	220136.25	2.94E+05
3.18E-04	2.87E+06	2.87E+00	2.87E+03	2.87E+04	5.74E+04	8.61E+04	1.15E+05	1.43E+05	215166	2.87E+05
3.18E-04	2.80E+06	2.80E+00	2.80E+03	2.80E+04	5.61E+04	8.41E+04	1.12E+05	1.40E+05	210308.25	2.80E+05
3.19E-04	2.74E+06	2.74E+00	2.74E+03	2.74E+04	5.48E+04	8.22E+04	1.10E+05	1.37E+05	205560	2.74E+05
3.19E-04	2.68E+06	2.68E+00	2.68E+03	2.68E+04	5.36E+04	8.04E+04	1.07E+05	1.34E+05	200919	2.68E+05
3.20E-04	2.62E+06	2.62E+00	2.62E+03	2.62E+04	5.24E+04	7.86E+04	1.05E+05	1.31E+05	196383	2.62E+05
3.20E-04	2.56E+06	2.56E+00	2.56E+03	2.56E+04	5.12E+04	7.68E+04	1.02E+05	1.28E+05	191949	2.56E+05
3.20E-04	2.50E+06	2.50E+00	2.50E+03	2.50E+04	5.00E+04	7.50E+04	1.00E+05	1.25E+05	187615.5	2.50E+05
3.21E-04	2.45E+06	2.45E+00	2.45E+03	2.45E+04	4.89E+04	7.34E+04	9.78E+04	1.22E+05	183379.5	2.45E+05
3.21E-04	2.39E+06	2.39E+00	2.39E+03	2.39E+04	4.78E+04	7.17E+04	9.56E+04	1.19E+05	179239.5	2.39E+05
3.22E-04	2.34E+06	2.34E+00	2.34E+03	2.34E+04	4.67E+04	7.01E+04	9.34E+04	1.17E+05	175193.25	2.34E+05
3.22E-04	2.28E+06	2.28E+00	2.28E+03	2.28E+04	4.57E+04	6.85E+04	9.13E+04	1.14E+05	171237.75	2.28E+05
3.22E-04	2.23E+06	2.23E+00	2.23E+03	2.23E+04	4.46E+04	6.69E+04	8.93E+04	1.12E+05	167371.5	2.23E+05
3.23E-04	2.18E+06	2.18E+00	2.18E+03	2.18E+04	4.36E+04	6.54E+04	8.72E+04	1.09E+05	163593	2.18E+05
3.23E-04	2.13E+06	2.13E+00	2.13E+03	2.13E+04	4.26E+04	6.40E+04	8.53E+04	1.07E+05	159899.25	2.13E+05
3.24E-04	2.08E+06	2.08E+00	2.08E+03	2.08E+04	4.17E+04	6.25E+04	8.34E+04	1.04E+05	156289.5	2.08E+05
3.24E-04	2.04E+06	2.04E+00	2.04E+03	2.04E+04	4.07E+04	6.11E+04	8.15E+04	1.02E+05	152760.75	2.04E+05
3.24E-04	1.99E+06	1.99E+00	1.99E+03	1.99E+04	3.98E+04	5.97E+04	7.96E+04	9.95E+04	149312.25	1.99E+05
3.25E-04	1.95E+06	1.95E+00	1.95E+03	1.95E+04	3.89E+04	5.84E+04	7.78E+04	9.73E+04	145941	1.95E+05
3.25E-04	1.90E+06	1.90E+00	1.90E+03	1.90E+04	3.80E+04	5.71E+04	7.61E+04	9.51E+04	142646.25	1.90E+05
3.26E-04	1.86E+06	1.86E+00	1.86E+03	1.86E+04	3.72E+04	5.58E+04	7.44E+04	9.30E+04	139425.75	1.86E+05
3.26E-04	1.82E+06	1.82E+00	1.82E+03	1.82E+04	3.63E+04	5.45E+04	7.27E+04	9.09E+04	136278	1.82E+05
3.26E-04	1.78E+06	1.78E+00	1.78E+03	1.78E+04	3.55E+04	5.33E+04	7.10E+04	8.88E+04	133201.5	1.78E+05
3.27E-04	1.74E+06	1.74E+00	1.74E+03	1.74E+04	3.47E+04	5.21E+04	6.94E+04	8.68E+04	130194	1.74E+05
3.27E-04	1.70E+06	1.70E+00	1.70E+03	1.70E+04	3.39E+04	5.09E+04	6.79E+04	8.48E+04	127254.75	1.70E+05
3.28E-04	1.66E+06	1.66E+00	1.66E+03	1.66E+04	3.32E+04	4.98E+04	6.63E+04	8.29E+04	124381.5	1.66E+05
3.28E-04	1.62E+06	1.62E+00	1.62E+03	1.62E+04	3.24E+04	4.86E+04	6.48E+04	8.10E+04	121573.5	1.62E+05
3.28E-04	1.58E+06	1.58E+00	1.58E+03	1.58E+04	3.17E+04	4.75E+04	6.34E+04	7.92E+04	118828.5	1.58E+05
3.29E-04	1.55E+06	1.55E+00	1.55E+03	1.55E+04	3.10E+04	4.65E+04	6.19E+04	7.74E+04	116145.75	1.55E+05
3.29E-04	1.51E+06	1.51E+00	1.51E+03	1.51E+04	3.03E+04	4.54E+04	6.05E+04	7.57E+04	113523.75	1.51E+05
3.30E-04	1.48E+06	1.48E+00	1.48E+03	1.48E+04	2.96E+04	4.44E+04	5.92E+04	7.40E+04	110960.25	1.48E+05
3.30E-04	1.45E+06	1.45E+00	1.45E+03	1.45E+04	2.89E+04	4.34E+04	5.78E+04	7.23E+04	108455.25	1.45E+05
3.30E-04	1.41E+06	1.41E+00	1.41E+03	1.41E+04	2.83E+04	4.24E+04	5.65E+04	7.07E+04	106006.5	1.41E+05
3.31E-04	1.38E+06	1.38E+00	1.38E+03	1.38E+04	2.76E+04	4.14E+04	5.53E+04	6.91E+04	103613.25	1.38E+05
3.31E-04	1.35E+06	1.35E+00	1.35E+03	1.35E+04	2.70E+04	4.05E+04	5.40E+04	6.75E+04	101274	1.35E+05
3.32E-04	1.32E+06	1.32E+00	1.32E+03	1.32E+04	2.64E+04	3.96E+04	5.28E+04	6.60E+04	98988	1.32E+05
3.32E-04	1.29E+06	1.29E+00	1.29E+03	1.29E+04	2.58E+04	3.87E+04	5.16E+04	6.45E+04	96753	1.29E+05
3.32E-04	1.26E+06	1.26E+00	1.26E+03	1.26E+04	2.52E+04	3.78E+04	5.04E+04	6.30E+04	94568.25	1.26E+05
3.33E-04	1.23E+06	1.23E+00	1.23E+03	1.23E+04	2.46E+04	3.70E+04	4.93E+04	6.16E+04	92433.75	1.23E+05
3.33E-04	1.20E+06	1.20E+00	1.20E+03	1.20E+04	2.41E+04	3.61E+04	4.82E+04	6.02E+04	90346.5	1.20E+05
3.34E-04	1.18E+06	1.18E+00	1.18E+03	1.18E+04	2.35E+04	3.53E+04	4.71E+04	5.89E+04	88307.25	1.18E+05
3.34E-04	1.15E+06	1.15E+00	1.15E+03	1.15E+04	2.30E+04	3.45E+04	4.60E+04	5.75E+04	86313	1.15E+05
3.34E-04	1.12E+06	1.12E+00	1.12E+03	1.12E+04	2.25E+04	3.37E+04	4.50E+04	5.62E+04	84364.5	1.12E+05
3.35E-04	1.10E+06	1.10E+00	1.10E+03	1.10E+04	2.20E+04	3.30E+04	4.40E+04	5.50E+04	82459.5	1.10E+05
3.35E-04	1.07E+06	1.07E+00	1.07E+03	1.07E+04	2.15E+04	3.22E+04	4.30E+04	5.37E+04	80598	1.07E+05
3.36E-04	1.05E+06	1.05E+00	1.05E+03	1.05E+04	2.10E+04	3.15E+04	4.20E+04	5.25E+04	78778.5	1.05E+05
