"061837 PM - RawData-003 - C:\Users\Ian\06132008\blocking-sampl-area-2_061426 PM.spc"
"Wavelength nm.","T%"
396.00,86.305
396.50,86.348
397.00,86.409
397.50,86.443
398.00,86.469
398.50,86.530
399.00,86.641
399.50,86.722
400.00,86.800
400.50,86.856
401.00,86.893
401.50,86.946
402.00,86.972
402.50,87.007
403.00,87.059
403.50,87.128
404.00,87.198
404.50,87.219
405.00,87.213
405.50,87.270
406.00,87.334
406.50,87.363
407.00,87.411
407.50,87.431
408.00,87.462
408.50,87.521
409.00,87.555
409.50,87.613
410.00,87.666
410.50,87.662
411.00,87.660
411.50,87.720
412.00,87.759
412.50,87.807
413.00,87.880
413.50,87.926
414.00,87.930
414.50,87.965
415.00,88.008
415.50,88.000
416.00,88.039
416.50,88.034
417.00,88.014
417.50,88.045
418.00,88.058
418.50,88.121
419.00,88.138
419.50,88.124
420.00,88.139
420.50,88.150
421.00,88.185
421.50,88.205
422.00,88.222
422.50,88.220
423.00,88.222
423.50,88.255
424.00,88.266
424.50,88.251
425.00,88.254
425.50,88.234
426.00,88.222
426.50,88.240
427.00,88.258
427.50,88.268
428.00,88.264
428.50,88.283
429.00,88.321
429.50,88.358
430.00,88.371
430.50,88.359
431.00,88.351
431.50,88.354
432.00,88.367
432.50,88.391
433.00,88.387
433.50,88.382
434.00,88.397
434.50,88.377
435.00,88.344
435.50,88.307
436.00,88.322
436.50,88.335
437.00,88.306
437.50,88.286
438.00,88.287
438.50,88.293
439.00,88.274
439.50,88.268
440.00,88.275
440.50,88.268
441.00,88.245
441.50,88.208
442.00,88.171
442.50,88.170
443.00,88.187
443.50,88.202
444.00,88.158
444.50,88.120
445.00,88.106
445.50,88.106
446.00,88.094
446.50,88.055
447.00,88.026
447.50,88.008
448.00,87.962
448.50,87.900
449.00,87.900
449.50,87.926
450.00,87.924
450.50,87.898
451.00,87.892
451.50,87.866
452.00,87.822
452.50,87.828
453.00,87.845
453.50,87.804
454.00,87.744
454.50,87.732
455.00,87.723
455.50,87.697
456.00,87.683
456.50,87.674
457.00,87.630
457.50,87.604
458.00,87.587
458.50,87.561
459.00,87.567
459.50,87.543
460.00,87.514
460.50,87.466
461.00,87.418
461.50,87.404
462.00,87.369
462.50,87.350
463.00,87.326
463.50,87.292
464.00,87.292
464.50,87.270
465.00,87.245
465.50,87.228
466.00,87.180
466.50,87.125
467.00,87.082
