 # PENELOPE >>>  Positron cross sections (xs).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy        xs_el        xs_in        xs_br        xs_an       xs_tot       xs_isi
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #-------------------------------------------------------------------------------------------
   3.71609E+00  4.16983E-17  3.04956E-17  1.21484E-22  2.70367E-23  7.21940E-17  4.73509E-19
   4.04366E+00  3.89458E-17  2.83793E-17  1.19063E-22  2.59307E-23  6.73252E-17  4.46820E-19
   4.40011E+00  3.63532E-17  2.64071E-17  1.16566E-22  2.48709E-23  6.27604E-17  4.21117E-19
   4.78798E+00  3.39134E-17  2.45700E-17  1.13998E-22  2.38555E-23  5.84835E-17  3.96598E-19
   5.21004E+00  3.16194E-17  2.28593E-17  1.11365E-22  2.28826E-23  5.44789E-17  3.73176E-19
   5.66930E+00  2.94644E-17  2.12668E-17  1.08676E-22  2.19506E-23  5.07314E-17  3.50930E-19
   6.16905E+00  2.74419E-17  1.97846E-17  1.05942E-22  2.10577E-23  4.72267E-17  3.29909E-19
   6.71284E+00  2.55455E-17  1.84054E-17  1.03178E-22  2.02023E-23  4.39510E-17  3.09870E-19
   7.30458E+00  2.37689E-17  1.71222E-17  1.00394E-22  1.93829E-23  4.08912E-17  2.90928E-19
   7.94848E+00  2.21062E-17  1.59287E-17  9.76043E-23  1.85981E-23  3.80349E-17  2.73027E-19
   8.64913E+00  2.05512E-17  1.48187E-17  9.48167E-23  1.78465E-23  3.53700E-17  2.56054E-19
   9.41155E+00  1.90985E-17  1.37867E-17  9.20203E-23  1.71266E-23  3.28852E-17  2.40065E-19
   1.02412E+01  1.77423E-17  1.28273E-17  8.91980E-23  1.64372E-23  3.05697E-17  2.24977E-19
   1.11439E+01  1.64774E-17  1.19356E-17  8.63579E-23  1.57771E-23  2.84131E-17  2.10734E-19
   1.21263E+01  1.52987E-17  1.11069E-17  8.35514E-23  1.51451E-23  2.64057E-17  1.97411E-19
   1.31952E+01  1.42010E-17  1.03370E-17  8.08320E-23  1.45400E-23  2.45381E-17  1.84855E-19
   1.43583E+01  1.31797E-17  9.62171E-18  7.82504E-23  1.39607E-23  2.28015E-17  1.73063E-19
   1.56240E+01  1.22301E-17  8.95738E-18  7.58524E-23  1.34063E-23  2.11876E-17  1.62002E-19
   1.70013E+01  1.13478E-17  8.34046E-18  7.36038E-23  1.28756E-23  1.96883E-17  1.51625E-19
   1.84999E+01  1.05286E-17  7.76765E-18  7.13885E-23  1.23678E-23  1.82963E-17  1.41901E-19
   2.01307E+01  9.76853E-18  7.23590E-18  6.90882E-23  1.18819E-23  1.70045E-17  1.32797E-19
   2.19052E+01  9.06372E-18  6.74234E-18  6.66329E-23  1.14171E-23  1.58061E-17  1.24277E-19
   2.38362E+01  8.41056E-18  6.28432E-18  6.40914E-23  1.09724E-23  1.46950E-17  1.16311E-19
   2.59373E+01  7.80562E-18  5.85934E-18  6.15553E-23  1.05470E-23  1.36650E-17  1.08872E-19
   2.82237E+01  7.24565E-18  5.46510E-18  5.91081E-23  1.01402E-23  1.27108E-17  1.01923E-19
   3.07116E+01  6.72757E-18  5.09945E-18  5.68241E-23  9.75127E-24  1.18271E-17  9.54317E-20
   3.34188E+01  6.24848E-18  4.76037E-18  5.47254E-23  9.37938E-24  1.10089E-17  8.93836E-20
   3.63646E+01  5.80567E-18  4.44600E-18  5.27540E-23  9.02387E-24  1.02517E-17  8.37415E-20
   3.95702E+01  5.39656E-18  4.15459E-18  5.08480E-23  8.68407E-24  9.55122E-18  7.84805E-20
   4.30583E+01  5.01876E-18  3.88454E-18  4.89657E-23  8.35930E-24  8.90335E-18  7.35914E-20
   4.68538E+01  4.67001E-18  3.63432E-18  4.71575E-23  8.04896E-24  8.30438E-18  6.90356E-20
   5.09840E+01  4.34820E-18  3.40255E-18  4.55012E-23  7.75241E-24  7.75080E-18  6.48012E-20
   5.54782E+01  4.05135E-18  3.18791E-18  4.40087E-23  7.46907E-24  7.23931E-18  6.08763E-20
   6.03686E+01  3.77765E-18  2.98919E-18  4.25672E-23  7.19836E-24  6.76689E-18  5.71958E-20
   6.56901E+01  3.52536E-18  2.80528E-18  4.10889E-23  6.93971E-24  6.33068E-18  5.38119E-20
   7.14806E+01  3.29289E-18  2.63511E-18  3.96026E-23  6.69259E-24  5.92804E-18  5.06475E-20
   7.77816E+01  3.07875E-18  2.47772E-18  3.81575E-23  6.45646E-24  5.55652E-18  4.77231E-20
   8.46381E+01  2.88158E-18  2.33220E-18  3.67957E-23  6.23079E-24  5.21383E-18  4.50128E-20
   9.20989E+01  2.70009E-18  2.19772E-18  3.55215E-23  6.01508E-24  4.89785E-18  4.24949E-20
   1.00217E+02  2.53307E-18  2.07349E-18  3.43170E-23  5.80881E-24  4.60660E-18  4.01638E-20
   1.09051E+02  2.37944E-18  1.95878E-18  3.31691E-23  5.61151E-24  4.33826E-18  3.80519E-20
   1.18664E+02  2.23818E-18  1.85293E-18  3.20787E-23  5.42267E-24  4.09114E-18  3.60511E-20
   1.29125E+02  2.10834E-18  1.75531E-18  3.10495E-23  5.24183E-24  3.86369E-18  3.42010E-20
   1.40507E+02  1.98904E-18  1.66534E-18  3.00846E-23  5.06851E-24  3.65442E-18  3.25149E-20
   1.52892E+02  1.87945E-18  1.58249E-18  2.91867E-23  4.90224E-24  3.46197E-18  3.09292E-20
   1.66370E+02  1.77884E-18  1.50625E-18  2.83564E-23  4.74258E-24  3.28512E-18  2.94912E-20
   1.81035E+02  1.68662E-18  1.43616E-18  2.75909E-23  4.58906E-24  3.12281E-18  2.81753E-20
   1.96994E+02  1.60198E-18  1.37180E-18  2.68871E-23  4.44125E-24  2.97380E-18  2.69542E-20
   2.14358E+02  1.52399E-18  1.31276E-18  2.62420E-23  4.29871E-24  2.83678E-18  2.58440E-20
   2.33254E+02  1.45272E-18  1.25867E-18  2.56542E-23  4.16103E-24  2.71142E-18  2.48241E-20
   2.53815E+02  1.38851E-18  1.20920E-18  2.51226E-23  4.02779E-24  2.59773E-18  2.38837E-20
   2.76189E+02  1.33091E-18  1.16401E-18  2.46463E-23  3.89861E-24  2.49495E-18  2.30351E-20
   3.00535E+02  1.27785E-18  1.12283E-18  2.42242E-23  3.77311E-24  2.40071E-18  2.22609E-20
   3.27027E+02  1.22792E-18  1.08536E-18  2.38559E-23  3.65093E-24  2.31331E-18  2.15623E-20
   3.55855E+02  1.18182E-18  1.05136E-18  2.35417E-23  3.53176E-24  2.23321E-18  2.09301E-20
   3.87223E+02  1.14014E-18  1.02059E-18  2.32825E-23  3.41527E-24  2.16075E-18  2.03610E-20
   4.21357E+02  1.10227E-18  9.92812E-19  2.30788E-23  3.30120E-24  2.09511E-18  1.98476E-20
   4.58499E+02  1.06780E-18  9.67833E-19  2.29287E-23  3.18930E-24  2.03566E-18  1.93956E-20
   4.98916E+02  1.03650E-18  9.45454E-19  2.28280E-23  3.07937E-24  1.98198E-18  1.89873E-20
   5.42895E+02  1.00814E-18  9.25493E-19  2.27732E-23  2.97123E-24  1.93366E-18  1.86327E-20
