 # PENELOPE >>>  Electron mean free paths (mfp).
 #
 # NOTE: The xs for inner shell ionization (isi) is listed only for
 #       completeness. The xs for inelastic collisions (in) has been
 #       calculated by considering all inelastic events, including isi.
 #       The bremss (br) xs is for emission of photons with W >10 eV.
 #
 #   Energy       mfp_el       mfp_in       mfp_br      mfp_tot      mfp_isi
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)
 #------------------------------------------------------------------------------
   7.94848E+00  7.13098E-07  1.04554E-06  6.20073E-02  4.23946E-07  6.11126E-05
   8.64913E+00  7.69124E-07  1.12358E-06  6.53424E-02  4.56578E-07  6.51375E-05
   9.41155E+00  8.29797E-07  1.20741E-06  6.89071E-02  4.91800E-07  6.94499E-05
   1.02412E+01  8.95486E-07  1.29745E-06  7.27380E-02  5.29810E-07  7.40812E-05
   1.11439E+01  9.66575E-07  1.39411E-06  7.68576E-02  5.70809E-07  7.90608E-05
   1.21263E+01  1.04348E-06  1.49785E-06  8.12482E-02  6.15019E-07  8.43689E-05
   1.31952E+01  1.12665E-06  1.60914E-06  8.58755E-02  6.62671E-07  9.00708E-05
   1.43583E+01  1.21656E-06  1.72849E-06  9.06899E-02  7.14010E-07  9.61787E-05
   1.56240E+01  1.31370E-06  1.85641E-06  9.56262E-02  7.69293E-07  1.02715E-04
   1.70013E+01  1.41859E-06  1.99345E-06  1.00706E-01  8.28790E-07  1.09715E-04
   1.84999E+01  1.53177E-06  2.14019E-06  1.06083E-01  8.92781E-07  1.17201E-04
   2.01307E+01  1.65384E-06  2.29720E-06  1.11967E-01  9.61560E-07  1.25201E-04
   2.19052E+01  1.78537E-06  2.46509E-06  1.18560E-01  1.03543E-06  1.33751E-04
   2.38362E+01  1.92701E-06  2.64449E-06  1.25852E-01  1.11471E-06  1.42874E-04
   2.59373E+01  2.07938E-06  2.83603E-06  1.33761E-01  1.19972E-06  1.52601E-04
   2.82237E+01  2.24316E-06  3.04035E-06  1.42161E-01  1.29079E-06  1.62968E-04
   3.07116E+01  2.41901E-06  3.25809E-06  1.50879E-01  1.38826E-06  1.74015E-04
   3.34188E+01  2.60762E-06  3.48991E-06  1.59808E-01  1.49245E-06  1.85750E-04
   3.63646E+01  2.80968E-06  3.73642E-06  1.69064E-01  1.60371E-06  1.98225E-04
   3.95702E+01  3.02588E-06  3.99823E-06  1.78829E-01  1.72236E-06  2.11472E-04
   4.30583E+01  3.25687E-06  4.27594E-06  1.89282E-01  1.84872E-06  2.25480E-04
   4.68538E+01  3.50332E-06  4.57008E-06  2.00273E-01  1.98309E-06  2.40318E-04
   5.09840E+01  3.76584E-06  4.88114E-06  2.11446E-01  2.12576E-06  2.55980E-04
   5.54782E+01  4.04501E-06  5.20954E-06  2.22642E-01  2.27698E-06  2.72443E-04
   6.03686E+01  4.34133E-06  5.55561E-06  2.34349E-01  2.43697E-06  2.89931E-04
   6.56901E+01  4.65526E-06  5.91961E-06  2.47101E-01  2.60590E-06  3.08123E-04
   7.14806E+01  4.98714E-06  6.30165E-06  2.60854E-01  2.78390E-06  3.27333E-04
   7.77816E+01  5.33724E-06  6.70172E-06  2.75374E-01  2.97105E-06  3.47352E-04
   8.46381E+01  5.70567E-06  7.11965E-06  2.90365E-01  3.16732E-06  3.68229E-04
   9.20989E+01  6.09241E-06  7.55511E-06  3.05733E-01  3.37265E-06  3.90010E-04
   1.00217E+02  6.49730E-06  8.00757E-06  3.21563E-01  3.58687E-06  4.12612E-04
   1.09051E+02  6.91998E-06  8.47630E-06  3.37933E-01  3.80970E-06  4.35483E-04
   1.18664E+02  7.35991E-06  8.96032E-06  3.54797E-01  4.04078E-06  4.59621E-04
   1.29125E+02  7.81632E-06  9.45846E-06  3.72064E-01  4.27962E-06  4.84456E-04
   1.40507E+02  8.28828E-06  9.96927E-06  3.89623E-01  4.52564E-06  5.09555E-04
   1.52892E+02  8.77465E-06  1.04911E-05  4.07343E-01  4.77814E-06  5.35658E-04
   1.66370E+02  9.27397E-06  1.10219E-05  4.25096E-01  5.03628E-06  5.61762E-04
   1.81035E+02  9.78431E-06  1.15597E-05  4.42793E-01  5.29901E-06  5.87987E-04
   1.96994E+02  1.03044E-05  1.21019E-05  4.60349E-01  5.56544E-06  6.14617E-04
   2.14358E+02  1.08335E-05  1.26460E-05  4.77676E-01  5.83482E-06  6.41019E-04
   2.33254E+02  1.13672E-05  1.31893E-05  4.94660E-01  6.10526E-06  6.67361E-04
   2.53815E+02  1.18989E-05  1.37288E-05  5.11176E-01  6.37419E-06  6.93645E-04
   2.76189E+02  1.24246E-05  1.42616E-05  5.27095E-01  6.63986E-06  7.19210E-04
   3.00535E+02  1.29497E-05  1.47847E-05  5.42290E-01  6.90315E-06  7.44246E-04
   3.27027E+02  1.34788E-05  1.52950E-05  5.56628E-01  7.16468E-06  7.68387E-04
   3.55855E+02  1.40043E-05  1.57895E-05  5.69954E-01  7.42161E-06  7.91628E-04
   3.87223E+02  1.45178E-05  1.62656E-05  5.82112E-01  7.67094E-06  8.13789E-04
   4.21357E+02  1.50183E-05  1.67206E-05  5.92955E-01  7.91179E-06  8.34877E-04
   4.58499E+02  1.55045E-05  1.71521E-05  6.02423E-01  8.14327E-06  8.54381E-04
   4.98916E+02  1.59743E-05  1.75581E-05  6.10528E-01  8.36427E-06  8.72805E-04
   5.42895E+02  1.64254E-05  1.79368E-05  6.17292E-01  8.57380E-06  8.89469E-04
   5.90751E+02  1.68564E-05  1.82867E-05  6.22719E-01  8.77110E-06  9.04566E-04
   6.42825E+02  1.72659E-05  1.86070E-05  6.26818E-01  8.95558E-06  9.18175E-04
   6.99490E+02  1.76528E-05  1.88970E-05  6.29631E-01  9.12673E-06  9.30125E-04
   7.61150E+02  1.80161E-05  1.91565E-05  6.31218E-01  9.28427E-06  9.40257E-04
   8.28245E+02  1.83568E-05  1.93856E-05  6.31655E-01  9.42846E-06  9.48855E-04
   9.01255E+02  1.86737E-05  1.95849E-05  6.31032E-01  9.55908E-06  9.55928E-04
   9.80700E+02  1.89640E-05  1.97551E-05  6.29456E-01  9.67559E-06  9.61196E-04
   1.06715E+03  1.92324E-05  1.98975E-05  6.27034E-01  9.77949E-06  9.65075E-04
   1.16122E+03  1.94804E-05  2.00134E-05  6.23835E-01  9.87147E-06  9.67665E-04
   1.26358E+03  1.97067E-05  2.01044E-05  6.19911E-01  9.95162E-06  9.68970E-04
   1.37496E+03  1.99109E-05  2.01724E-05  6.15311E-01  1.00202E-05  9.68965E-04
   1.49616E+03  2.00945E-05  2.02194E-05  6.10084E-01  1.00782E-05  9.67781E-04
   1.62805E+03  2.02593E-05  2.02474E-05  6.04311E-01  1.01265E-05  9.65534E-04
   1.77156E+03  2.04067E-05  2.02586E-05  5.98210E-01  1.01660E-05  9.62323E-04
   1.92773E+03  2.05381E-05  2.02552E-05  5.92028E-01  1.01977E-05  9.58254E-04
   2.09765E+03  2.06546E-05  2.02394E-05  5.85992E-01  1.02223E-05  9.53357E-04
   2.28256E+03  2.07577E-05  2.02134E-05  5.80128E-01  1.02408E-05  9.47993E-04
   2.48377E+03  2.08490E-05  2.01793E-05  5.74297E-01  1.02542E-05  9.41951E-04
   2.70271E+03  2.09300E-05  2.01390E-05  5.68358E-01  1.02633E-05  9.35362E-04
   2.94096E+03  2.10018E-05  2.00943E-05  5.62171E-01  1.02688E-05  9.28358E-04
   3.20020E+03  2.10654E-05  2.00467E-05  5.55630E-01  1.02715E-05  9.20900E-04
   3.48230E+03  2.11216E-05  1.99974E-05  5.48866E-01  1.02719E-05  9.13370E-04
   3.78926E+03  2.11711E-05  1.99474E-05  5.42118E-01  1.02703E-05  9.05408E-04
   4.12328E+03  2.12152E-05  1.98974E-05  5.35610E-01  1.02674E-05  8.97385E-04
   4.48675E+03  2.12549E-05  1.98480E-05  5.29423E-01  1.02635E-05  8.89158E-04
   4.88225E+03  2.12899E-05  1.97994E-05  5.23445E-01  1.02586E-05  8.80799E-04
   5.31262E+03  2.13207E-05  1.97520E-05  5.17565E-01  1.02530E-05  8.72349E-04
   5.78093E+03  2.13480E-05  1.97058E-05  5.11814E-01  1.02468E-05  8.63915E-04
   6.29051E+03  2.13720E-05  1.96609E-05  5.06292E-01  1.02402E-05  8.55466E-04
   6.84502E+03  2.13929E-05  1.96172E-05  5.01029E-01  1.02331E-05  8.47024E-04
   7.44841E+03  2.14108E-05  1.95749E-05  4.95997E-01  1.02256E-05  8.38600E-04
   8.10498E+03  2.14258E-05  1.95337E-05  4.91168E-01  1.02178E-05  8.30230E-04
   8.81943E+03  2.14386E-05  1.94936E-05  4.86519E-01  1.02097E-05  8.21913E-04
   9.59686E+03  2.14495E-05  1.94545E-05  4.82038E-01  1.02015E-05  8.13673E-04
   1.04428E+04  2.14590E-05  1.94165E-05  4.77717E-01  1.01931E-05  8.05522E-04
