 # PENELOPE >>>  Positron mean free paths and range.
 #
 #   Energy       mfp_tot     1st tmfp       range
 #    (keV)      (g/cm**2)    (g/cm**2)    (g/cm**2)
 #----------------------------------------------------
   1.40507E+02  1.22604E-05  1.85419E-02  3.13117E-02
   1.52892E+02  1.29420E-05  2.13708E-02  3.60324E-02
   1.66370E+02  1.36387E-05  2.46126E-02  4.14211E-02
   1.81035E+02  1.43476E-05  2.83215E-02  4.75619E-02
   1.96994E+02  1.50664E-05  3.25635E-02  5.45478E-02
   2.14358E+02  1.57942E-05  3.74207E-02  6.24803E-02
   2.33254E+02  1.65244E-05  4.29590E-02  7.14706E-02
   2.53815E+02  1.72476E-05  4.92262E-02  8.16398E-02
   2.76189E+02  1.79582E-05  5.62943E-02  9.31190E-02
   3.00535E+02  1.86631E-05  6.43434E-02  1.06050E-01
   3.27027E+02  1.93682E-05  7.35946E-02  1.20585E-01
   3.55855E+02  2.00629E-05  8.41522E-02  1.36887E-01
   3.87223E+02  2.07357E-05  9.61051E-02  1.55131E-01
   4.21357E+02  2.13854E-05  1.09659E-01  1.75504E-01
   4.58499E+02  2.20099E-05  1.25038E-01  1.98202E-01
   4.98916E+02  2.26060E-05  1.42469E-01  2.23437E-01
   5.42895E+02  2.31709E-05  1.62227E-01  2.51429E-01
   5.90751E+02  2.37027E-05  1.84625E-01  2.82413E-01
   6.42825E+02  2.41999E-05  2.10017E-01  3.16637E-01
   6.99490E+02  2.46609E-05  2.38813E-01  3.54361E-01
   7.61150E+02  2.50852E-05  2.71487E-01  3.95862E-01
   8.28245E+02  2.54733E-05  3.08586E-01  4.41429E-01
   9.01255E+02  2.58248E-05  3.50730E-01  4.91369E-01
   9.80700E+02  2.61381E-05  3.98636E-01  5.46007E-01
   1.06715E+03  2.64174E-05  4.53178E-01  6.05686E-01
   1.16122E+03  2.66645E-05  5.15347E-01  6.70769E-01
   1.26358E+03  2.68797E-05  5.86261E-01  7.41642E-01
   1.37496E+03  2.70637E-05  6.67212E-01  8.18715E-01
   1.49616E+03  2.72191E-05  7.59738E-01  9.02425E-01
   1.62805E+03  2.73483E-05  8.65637E-01  9.93238E-01
   1.77156E+03  2.74538E-05  9.86983E-01  1.09165E+00
   1.92773E+03  2.75382E-05  1.12618E+00  1.19819E+00
   2.09765E+03  2.76036E-05  1.28600E+00  1.31344E+00
