 # PENELOPE >>>  Photon mean free paths (mfp).
 #
 #   Energy       mfp_Ra       mfp_Co       mfp_ph       mfp_pp       mfp_tot
 #    (keV)        (cm)         (cm)         (cm)         (cm)         (cm)
 #------------------------------------------------------------------------------
   4.50000E-01  1.51557E-01  1.47167E+01  4.06694E-05  1.00000E+35  4.06584E-05
   4.80000E-01  1.52075E-01  1.46056E+01  4.76874E-05  1.00000E+35  4.76723E-05
   5.20000E-01  1.52800E-01  1.44616E+01  5.82094E-05  1.00000E+35  5.81870E-05
   5.70000E-01  1.53768E-01  1.42861E+01  7.33487E-05  1.00000E+35  7.33133E-05
   6.10000E-01  1.54604E-01  1.41473E+01  8.70470E-05  1.00000E+35  8.69975E-05
   6.60000E-01  1.55704E-01  1.39758E+01  1.06469E-04  1.00000E+35  1.06395E-04
   7.10000E-01  1.56868E-01  1.38041E+01  1.28384E-04  1.00000E+35  1.28278E-04
   7.70000E-01  1.58349E-01  1.35948E+01  1.58265E-04  1.00000E+35  1.58105E-04
   8.30000E-01  1.59912E-01  1.33795E+01  1.92386E-04  1.00000E+35  1.92152E-04
   9.00000E-01  1.61840E-01  1.31174E+01  2.37624E-04  1.00000E+35  2.37272E-04
   9.70000E-01  1.63861E-01  1.28447E+01  2.89312E-04  1.00000E+35  2.88796E-04
   1.00000E+00  1.64786E-01  1.27192E+01  3.13415E-04  1.00000E+35  3.12812E-04
   1.25000E+00  1.72868E-01  1.16641E+01  5.67366E-04  1.00000E+35  5.65483E-04
   1.50000E+00  1.81854E-01  1.06167E+01  9.26487E-04  1.00000E+35  9.21711E-04
   1.54990E+00  1.83729E-01  1.04188E+01  1.01268E-03  1.00000E+35  1.00703E-03
   1.54990E+00  1.83729E-01  1.04188E+01  8.74906E-05  1.00000E+35  8.74482E-05
   1.59767E+00  1.85489E-01  1.02384E+01  9.29116E-05  1.00000E+35  9.28643E-05
   1.64691E+00  1.87420E-01  1.00504E+01  1.00058E-04  1.00000E+35  1.00003E-04
   1.69767E+00  1.89371E-01  9.86578E+00  1.08006E-04  1.00000E+35  1.07943E-04
   1.75000E+00  1.91381E-01  9.68264E+00  1.16823E-04  1.00000E+35  1.16750E-04
   2.00000E+00  2.01346E-01  8.88197E+00  1.64266E-04  1.00000E+35  1.64129E-04
   2.23607E+00  2.10892E-01  8.24474E+00  2.18085E-04  1.00000E+35  2.17854E-04
   2.50000E+00  2.21820E-01  7.64312E+00  2.90657E-04  1.00000E+35  2.90266E-04
   3.00000E+00  2.42761E-01  6.75007E+00  4.71128E-04  1.00000E+35  4.70182E-04
   3.50000E+00  2.64165E-01  6.08173E+00  7.15191E-04  1.00000E+35  7.13176E-04
   4.00000E+00  2.86282E-01  5.56412E+00  1.03201E-03  1.00000E+35  1.02811E-03
   4.50000E+00  3.09547E-01  5.15306E+00  1.43435E-03  1.00000E+35  1.42734E-03
   5.00000E+00  3.34121E-01  4.81950E+00  1.92901E-03  1.00000E+35  1.91718E-03
   6.00000E+00  3.87814E-01  4.31433E+00  3.24550E-03  1.00000E+35  3.21617E-03
   7.00000E+00  4.48423E-01  3.95467E+00  5.06764E-03  1.00000E+35  5.00467E-03
   8.00000E+00  5.15988E-01  3.68757E+00  7.48778E-03  1.00000E+35  7.36593E-03
   9.00000E+00  5.91508E-01  3.48452E+00  1.06059E-02  1.00000E+35  1.03880E-02
   1.00000E+01  6.74139E-01  3.32406E+00  1.44996E-02  1.00000E+35  1.41340E-02
   1.25000E+01  9.13954E-01  3.04361E+00  2.83579E-02  1.00000E+35  2.72582E-02
   1.50000E+01  1.19829E+00  2.86446E+00  4.93538E-02  1.00000E+35  4.66298E-02
   1.75000E+01  1.50501E+00  2.74234E+00  7.92093E-02  1.00000E+35  7.32393E-02
   2.00000E+01  1.83126E+00  2.65542E+00  1.19723E-01  1.00000E+35  1.07814E-01
   2.23607E+01  2.16241E+00  2.59597E+00  1.69271E-01  1.00000E+35  1.48031E-01
   2.50000E+01  2.56116E+00  2.54697E+00  2.39897E-01  1.00000E+35  2.01958E-01
   3.00000E+01  3.40338E+00  2.48776E+00  4.25184E-01  1.00000E+35  3.28114E-01
   3.50000E+01  4.36557E+00  2.45695E+00  6.92702E-01  1.00000E+35  4.80839E-01
   4.00000E+01  5.45084E+00  2.44303E+00  1.05841E+00  1.00000E+35  6.50365E-01
   4.50000E+01  6.66463E+00  2.44115E+00  1.54171E+00  1.00000E+35  8.27595E-01
   5.00000E+01  8.00461E+00  2.44663E+00  2.15851E+00  1.00000E+35  1.00307E+00
   6.00000E+01  1.10666E+01  2.47284E+00  3.87768E+00  1.00000E+35  1.32865E+00
   7.00000E+01  1.46355E+01  2.51163E+00  6.37089E+00  1.00000E+35  1.60401E+00
   8.00000E+01  1.87055E+01  2.55680E+00  9.80363E+00  1.00000E+35  1.82957E+00
   9.00000E+01  2.32762E+01  2.60548E+00  1.43388E+01  1.00000E+35  2.01406E+00
   1.00000E+02  2.83479E+01  2.65586E+00  2.01477E+01  1.00000E+35  2.16715E+00
   1.25000E+02  4.32538E+01  2.78620E+00  4.13568E+01  1.00000E+35  2.46177E+00
   1.50000E+02  6.13539E+01  2.91592E+00  7.42270E+01  1.00000E+35  2.68301E+00
   1.62019E+02  7.12040E+01  2.97757E+00  9.50387E+01  1.00000E+35  2.77461E+00
   1.75000E+02  8.26820E+01  3.04331E+00  1.21360E+02  1.00000E+35  2.86596E+00
   2.00000E+02  1.07247E+02  3.16708E+00  1.85095E+02  1.00000E+35  3.02594E+00
   2.23607E+02  1.33433E+02  3.28098E+00  2.62338E+02  1.00000E+35  3.16363E+00
   2.50000E+02  1.66140E+02  3.40431E+00  3.70475E+02  1.00000E+35  3.30618E+00
   2.61659E+02  1.81749E+02  3.45778E+00  4.26317E+02  1.00000E+35  3.36643E+00
   2.73861E+02  1.98837E+02  3.51266E+00  4.89576E+02  1.00000E+35  3.42752E+00
   3.00000E+02  2.38066E+02  3.62810E+00  6.45000E+02  1.00000E+35  3.55395E+00
   3.24037E+02  2.77295E+02  3.73168E+00  8.10837E+02  1.00000E+35  3.66549E+00
   3.50000E+02  3.23057E+02  3.84077E+00  1.01703E+03  1.00000E+35  3.78153E+00
   3.74166E+02  3.68817E+02  3.93997E+00  1.23457E+03  1.00000E+35  3.88605E+00
   4.00000E+02  4.21107E+02  4.04351E+00  1.49255E+03  1.00000E+35  3.99434E+00
   4.24264E+02  4.73390E+02  4.13848E+00  1.76154E+03  1.00000E+35  4.09308E+00
   4.50000E+02  5.32217E+02  4.23762E+00  2.07304E+03  1.00000E+35  4.19564E+00
   5.00000E+02  6.56391E+02  4.42441E+00  2.75528E+03  1.00000E+35  4.38779E+00
   5.47723E+02  7.87107E+02  4.59723E+00  3.49768E+03  1.00000E+35  4.56457E+00
   6.00000E+02  9.43962E+02  4.78086E+00  4.40917E+03  1.00000E+35  4.75164E+00
   6.48074E+02  1.10081E+03  4.94493E+00  5.33024E+03  1.00000E+35  4.91827E+00
   7.00000E+02  1.28380E+03  5.11776E+00  6.41023E+03  1.00000E+35  5.09339E+00
   7.23762E+02  1.37225E+03  5.19600E+00  6.93764E+03  1.00000E+35  5.17254E+00
   7.48331E+02  1.46679E+03  5.27544E+00  7.49004E+03  1.00000E+35  5.25285E+00
   8.00000E+02  1.67593E+03  5.44041E+00  8.71512E+03  1.00000E+35  5.41944E+00
   8.48528E+02  1.88506E+03  5.59220E+00  9.92828E+03  1.00000E+35  5.57253E+00
   9.00000E+02  2.12033E+03  5.75005E+00  1.12629E+04  1.00000E+35  5.73158E+00
   1.00000E+03  2.61702E+03  6.05057E+00  1.40215E+04  1.00000E+35  6.03401E+00
   1.02200E+03  2.73331E+03  6.11558E+00  1.46450E+04  1.00000E+35  6.09938E+00
   1.13027E+03  3.34247E+03  6.42922E+00  1.79088E+04  9.60405E+04  6.41415E+00
   1.25000E+03  4.08746E+03  6.76654E+00  2.17505E+04  1.24397E+04  6.74960E+00
   1.36931E+03  4.90439E+03  7.09444E+00  2.57584E+04  4.36759E+03  7.07078E+00
   1.50000E+03  5.88466E+03  7.44552E+00  3.03054E+04  2.17291E+03  7.40894E+00
   1.62019E+03  6.86499E+03  7.76193E+00  3.45614E+04  1.37451E+03  7.70796E+00
   1.75000E+03  8.00863E+03  8.09756E+00  3.92443E+04  9.39376E+02  8.01868E+00
   1.87083E+03  9.15232E+03  8.40491E+00  4.37018E+04  7.08825E+02  8.29731E+00
   2.00000E+03  1.04594E+04  8.72811E+00  4.85077E+04  5.52097E+02  8.58371E+00
   2.23607E+03  1.30735E+04  9.30613E+00  5.74836E+04  3.86092E+02  9.07935E+00
   2.36435E+03  1.46162E+04  9.61470E+00  6.24874E+04  3.30896E+02  9.33585E+00
   2.50000E+03  1.63411E+04  9.93621E+00  6.77454E+04  2.86336E+02  9.59597E+00
   2.73861E+03  1.96087E+04  1.04952E+01  7.72312E+04  2.32068E+02  1.00346E+01
   3.00000E+03  2.35300E+04  1.10963E+01  8.76870E+04  1.92230E+02  1.04848E+01
   3.50000E+03  3.20259E+04  1.22166E+01  1.07978E+05  1.45173E+02  1.12632E+01
