 # PENELOPE >>>  Positron stopping powers (stp).
 #
 #   Energy       stp_col      stp_rad      stp_tot
 #    (keV)     (eV cm**2/g) (eV cm**2/g) (eV cm**2/g)
 #----------------------------------------------------
   1.29125E+02  2.82298E+06  5.33508E+03  2.82831E+06
   1.40507E+02  2.68434E+06  5.48151E+03  2.68982E+06
   1.52892E+02  2.55640E+06  5.63773E+03  2.56204E+06
   1.66370E+02  2.43848E+06  5.80512E+03  2.44429E+06
   1.81035E+02  2.32994E+06  5.98574E+03  2.33593E+06
   1.96994E+02  2.23018E+06  6.18190E+03  2.23637E+06
   2.14358E+02  2.13865E+06  6.39614E+03  2.14505E+06
   2.33254E+02  2.05483E+06  6.63108E+03  2.06146E+06
   2.53815E+02  1.97821E+06  6.88954E+03  1.98510E+06
   2.76189E+02  1.90836E+06  7.17466E+03  1.91553E+06
   3.00535E+02  1.84483E+06  7.48994E+03  1.85232E+06
   3.27027E+02  1.78724E+06  7.83931E+03  1.79508E+06
   3.55855E+02  1.73519E+06  8.22723E+03  1.74341E+06
   3.87223E+02  1.68833E+06  8.65873E+03  1.69699E+06
   4.21357E+02  1.64634E+06  9.13949E+03  1.65548E+06
   4.58499E+02  1.60890E+06  9.67582E+03  1.61857E+06
   4.98916E+02  1.57570E+06  1.02747E+04  1.58598E+06
   5.42895E+02  1.54648E+06  1.09441E+04  1.55743E+06
   5.90751E+02  1.52097E+06  1.16929E+04  1.53266E+06
   6.42825E+02  1.49891E+06  1.25311E+04  1.51144E+06
   6.99490E+02  1.48006E+06  1.34700E+04  1.49353E+06
   7.61150E+02  1.46421E+06  1.45217E+04  1.47873E+06
   8.28245E+02  1.45112E+06  1.57004E+04  1.46682E+06
   9.01255E+02  1.44060E+06  1.70214E+04  1.45762E+06
   9.80700E+02  1.43244E+06  1.85006E+04  1.45095E+06
   1.06715E+03  1.42647E+06  2.01562E+04  1.44662E+06
   1.16122E+03  1.42249E+06  2.20080E+04  1.44450E+06
   1.26358E+03  1.42033E+06  2.40784E+04  1.44441E+06
   1.37496E+03  1.41982E+06  2.63920E+04  1.44621E+06
   1.49616E+03  1.42081E+06  2.89760E+04  1.44978E+06
   1.62805E+03  1.42313E+06  3.18609E+04  1.45499E+06
   1.77156E+03  1.42663E+06  3.50809E+04  1.46171E+06
   1.92773E+03  1.43117E+06  3.86741E+04  1.46984E+06
   2.09765E+03  1.43660E+06  4.26828E+04  1.47929E+06
   2.28256E+03  1.44280E+06  4.71526E+04  1.48995E+06
   2.48377E+03  1.44962E+06  5.21326E+04  1.50175E+06
   2.70271E+03  1.45695E+06  5.76762E+04  1.51463E+06
   2.94096E+03  1.46468E+06  6.38414E+04  1.52853E+06
   3.20020E+03  1.47273E+06  7.06905E+04  1.54342E+06
   3.48230E+03  1.48099E+06  7.82917E+04  1.55929E+06
   3.78926E+03  1.48942E+06  8.67182E+04  1.57614E+06
