 # PENELOPE >>>  Photon cross sections (xs).
 #
 #   Energy        xs_Ra        xs_Co        xs_ph        xs_pp       xs_tot
 #    (keV)       (cm**2)      (cm**2)      (cm**2)      (cm**2)      (cm**2)
 #------------------------------------------------------------------------------
   4.50000E-01  1.09537E-22  1.12804E-24  4.08196E-19  1.00000E-35  4.08307E-19
   4.80000E-01  1.09164E-22  1.13662E-24  3.48123E-19  1.00000E-35  3.48233E-19
   5.20000E-01  1.08646E-22  1.14794E-24  2.85196E-19  1.00000E-35  2.85306E-19
   5.70000E-01  1.07962E-22  1.16205E-24  2.26331E-19  1.00000E-35  2.26440E-19
   6.10000E-01  1.07378E-22  1.17344E-24  1.90714E-19  1.00000E-35  1.90823E-19
   6.60000E-01  1.06620E-22  1.18784E-24  1.55924E-19  1.00000E-35  1.56032E-19
   7.10000E-01  1.05828E-22  1.20262E-24  1.29308E-19  1.00000E-35  1.29415E-19
   7.70000E-01  1.04838E-22  1.22114E-24  1.04894E-19  1.00000E-35  1.05000E-19
   8.30000E-01  1.03814E-22  1.24078E-24  8.62907E-20  1.00000E-35  8.63958E-20
   9.00000E-01  1.02577E-22  1.26558E-24  6.98627E-20  1.00000E-35  6.99665E-20
   9.70000E-01  1.01312E-22  1.29245E-24  5.73812E-20  1.00000E-35  5.74838E-20
   1.00000E+00  1.00743E-22  1.30520E-24  5.29684E-20  1.00000E-35  5.30704E-20
   1.25000E+00  9.60331E-23  1.42327E-24  2.92599E-20  1.00000E-35  2.93574E-20
   1.50000E+00  9.12881E-23  1.56368E-24  1.79183E-20  1.00000E-35  1.80112E-20
   1.54990E+00  9.03565E-23  1.59337E-24  1.63932E-20  1.00000E-35  1.64851E-20
   1.54990E+00  9.03565E-23  1.59337E-24  1.89747E-19  1.00000E-35  1.89839E-19
   1.59767E+00  8.94991E-23  1.62146E-24  1.78676E-19  1.00000E-35  1.78767E-19
   1.64691E+00  8.85769E-23  1.65179E-24  1.65915E-19  1.00000E-35  1.66005E-19
   1.69767E+00  8.76642E-23  1.68269E-24  1.53705E-19  1.00000E-35  1.53794E-19
   1.75000E+00  8.67434E-23  1.71452E-24  1.42105E-19  1.00000E-35  1.42193E-19
   2.00000E+00  8.24506E-23  1.86908E-24  1.01062E-19  1.00000E-35  1.01146E-19
   2.23607E+00  7.87183E-23  2.01354E-24  7.61219E-20  1.00000E-35  7.62026E-20
   2.50000E+00  7.48404E-23  2.17203E-24  5.71157E-20  1.00000E-35  5.71927E-20
   3.00000E+00  6.83845E-23  2.45939E-24  3.52369E-20  1.00000E-35  3.53077E-20
   3.50000E+00  6.28437E-23  2.72966E-24  2.32121E-20  1.00000E-35  2.32777E-20
