 # PENELOPE >>>  Photelectric cross-section ceiling (ph_ceil).
 #
 #   Energy       ph_ceil
 #    (keV)       (cm**2)
 #--------------------------
   1.18664E+02  6.23205E-25
   1.18664E+02  4.74670E-25
   1.29125E+02  4.74670E-25
   1.29125E+02  3.61710E-25
   1.40507E+02  3.61710E-25
   1.40507E+02  2.75843E-25
   1.52892E+02  2.75843E-25
   1.52892E+02  2.10367E-25
   1.66370E+02  2.10367E-25
   1.66370E+02  1.60594E-25
   1.81035E+02  1.60594E-25
   1.81035E+02  1.22889E-25
   1.96994E+02  1.22889E-25
   1.96994E+02  9.40882E-26
   2.14358E+02  9.40882E-26
   2.14358E+02  7.22136E-26
   2.33254E+02  7.22136E-26
   2.33254E+02  5.55299E-26
   2.53815E+02  5.55299E-26
   2.53815E+02  4.27677E-26
   2.76189E+02  4.27677E-26
   2.76189E+02  3.30520E-26
   3.00535E+02  3.30520E-26
   3.00535E+02  2.56023E-26
   3.27027E+02  2.56023E-26
   3.27027E+02  1.99285E-26
   3.55855E+02  1.99285E-26
   3.55855E+02  1.55556E-26
   3.87223E+02  1.55556E-26
   3.87223E+02  1.21978E-26
   4.21357E+02  1.21978E-26
   4.21357E+02  9.60829E-27
   4.58499E+02  9.60829E-27
   4.58499E+02  7.61353E-27
   4.98916E+02  7.61353E-27
   4.98916E+02  6.06062E-27
   5.42895E+02  6.06062E-27
   5.42895E+02  4.85758E-27
   5.90751E+02  4.85758E-27
   5.90751E+02  3.91670E-27
   6.42825E+02  3.91670E-27
   6.42825E+02  3.17748E-27
   6.99490E+02  3.17748E-27
   6.99490E+02  2.59430E-27
   7.61150E+02  2.59430E-27
   7.61150E+02  2.13263E-27
   8.28245E+02  2.13263E-27
   8.28245E+02  1.76407E-27
   9.01255E+02  1.76407E-27
   9.01255E+02  1.46970E-27
   9.80700E+02  1.46970E-27
   9.80700E+02  1.23293E-27
   1.06715E+03  1.23293E-27
   1.06715E+03  1.03977E-27
   1.16122E+03  1.03977E-27
   1.16122E+03  8.79887E-28
   1.26358E+03  8.79887E-28
   1.26358E+03  7.48105E-28
   1.37496E+03  7.48105E-28
   1.37496E+03  6.39775E-28
   1.49616E+03  6.39775E-28
   1.49616E+03  5.50299E-28
   1.62805E+03  5.50299E-28
   1.62805E+03  4.76518E-28
   1.77156E+03  4.76518E-28
   1.77156E+03  4.14753E-28
   1.92773E+03  4.14753E-28
   1.92773E+03  3.62498E-28
   2.09765E+03  3.62498E-28
   2.09765E+03  3.18289E-28
   2.28256E+03  3.18289E-28
   2.28256E+03  2.80040E-28
   2.48377E+03  2.80040E-28
   2.48377E+03  2.47374E-28
   2.70271E+03  2.47374E-28
   2.70271E+03  2.19069E-28
   2.94096E+03  2.19069E-28
   2.94096E+03  1.94637E-28
   3.20020E+03  1.94637E-28
   3.20020E+03  1.73507E-28
   3.48230E+03  1.73507E-28
   3.48230E+03  1.54801E-28
   3.78926E+03  1.54801E-28
   3.78926E+03  1.38644E-28
   4.12328E+03  1.38644E-28
   4.12328E+03  1.24238E-28
   4.48675E+03  1.24238E-28
   4.48675E+03  1.11624E-28
   4.88225E+03  1.11624E-28
   4.88225E+03  1.00435E-28
   5.31262E+03  1.00435E-28
   5.31262E+03  9.05762E-29
   5.78093E+03  9.05762E-29
   5.78093E+03  8.17596E-29
