 # PENELOPE >>>  Photon mass attenuation coefficients (mac).
 #
 #   Energy       mac_Ra       mac_Co       mac_ph       mac_pp       mac_tot
 #    (keV)      (cm**2/g)    (cm**2/g)    (cm**2/g)    (cm**2/g)    (cm**2/g)
 #------------------------------------------------------------------------------
   5.00000E+02  5.64483E-04  8.37448E-02  1.34477E-04  1.00000E-35  8.44437E-02
   5.47723E+02  4.70738E-04  8.05966E-02  1.05933E-04  1.00000E-35  8.11733E-02
   6.00000E+02  3.92517E-04  7.75011E-02  8.40343E-05  1.00000E-35  7.79776E-02
   6.48074E+02  3.36589E-04  7.49296E-02  6.95131E-05  1.00000E-35  7.53357E-02
   7.00000E+02  2.88613E-04  7.23992E-02  5.78016E-05  1.00000E-35  7.27456E-02
   7.23762E+02  2.70010E-04  7.13090E-02  5.34074E-05  1.00000E-35  7.16324E-02
   7.48331E+02  2.52606E-04  7.02352E-02  4.94685E-05  1.00000E-35  7.05372E-02
   8.00000E+02  2.21084E-04  6.81054E-02  4.25148E-05  1.00000E-35  6.83690E-02
   8.48528E+02  1.96557E-04  6.62569E-02  3.73198E-05  1.00000E-35  6.64907E-02
   9.00000E+02  1.74747E-04  6.44380E-02  3.28975E-05  1.00000E-35  6.46456E-02
   1.00000E+03  1.41582E-04  6.12375E-02  2.64252E-05  1.00000E-35  6.14055E-02
   1.02200E+03  1.35558E-04  6.05865E-02  2.53003E-05  1.00000E-35  6.07473E-02
   1.13027E+03  1.10853E-04  5.76308E-02  2.06894E-05  3.85797E-06  5.77662E-02
   1.25000E+03  9.06483E-05  5.47579E-02  1.70351E-05  2.97854E-05  5.48953E-02
   1.36931E+03  7.55489E-05  5.22270E-02  1.43845E-05  8.48344E-05  5.24018E-02
   1.50000E+03  6.29640E-05  4.97643E-02  1.22262E-05  1.70518E-04  5.00100E-02
   1.62019E+03  5.39726E-05  4.77357E-02  1.07207E-05  2.69566E-04  4.80700E-02
   1.75000E+03  4.62653E-05  4.57572E-02  9.44141E-06  3.94433E-04  4.62073E-02
   1.87083E+03  4.04839E-05  4.40839E-02  8.47840E-06  5.22726E-04  4.46556E-02
   2.00000E+03  3.54249E-05  4.24515E-02  7.63840E-06  6.71117E-04  4.31657E-02
   2.23607E+03  2.83414E-05  3.98148E-02  6.44569E-06  9.59670E-04  4.08092E-02
   2.36435E+03  2.53501E-05  3.85370E-02  5.92954E-06  1.11975E-03  3.96880E-02
   2.50000E+03  2.26742E-05  3.72900E-02  5.46932E-06  1.29401E-03  3.86122E-02
   2.73861E+03  1.88957E-05  3.53040E-02  4.79756E-06  1.59660E-03  3.69243E-02
   3.00000E+03  1.57468E-05  3.33913E-02  4.22550E-06  1.92749E-03  3.53388E-02
   3.50000E+03  1.15694E-05  3.03294E-02  3.43145E-06  2.55227E-03  3.28967E-02
   4.00000E+03  8.85803E-06  2.78443E-02  2.88387E-06  3.14645E-03  3.10025E-02
   4.24264E+03  7.87387E-06  2.67990E-02  2.67245E-06  3.42456E-03  3.02341E-02
   4.50000E+03  6.99905E-06  2.57854E-02  2.48215E-06  3.71367E-03  2.95085E-02
   5.00000E+03  5.66928E-06  2.40408E-02  2.17581E-06  4.24637E-03  2.82950E-02
   6.00000E+03  3.93704E-06  2.12451E-02  1.74435E-06  5.23997E-03  2.64908E-02
   7.00000E+03  2.89253E-06  1.90916E-02  1.45448E-06  6.13163E-03  2.52276E-02
   8.00000E+03  2.21460E-06  1.73742E-02  1.24547E-06  6.93812E-03  2.43158E-02
   9.00000E+03  1.74981E-06  1.59680E-02  1.08916E-06  7.66820E-03  2.36391E-02
   1.00000E+04  1.41735E-06  1.47930E-02  9.66746E-07  8.33414E-03  2.31295E-02
   1.25000E+04  9.07102E-07  1.25487E-02  7.55160E-07  9.76429E-03  2.23146E-02
   1.50000E+04  6.29933E-07  1.09415E-02  6.19291E-07  1.09559E-02  2.18986E-02
   1.75000E+04  4.62807E-07  9.72847E-03  5.24309E-07  1.19705E-02  2.17000E-02
   2.00000E+04  3.54336E-07  8.77652E-03  4.54995E-07  1.28595E-02  2.16368E-02
   2.50000E+04  2.26776E-07  7.37298E-03  3.59204E-07  1.43369E-02  2.17105E-02
   3.00000E+04  1.57483E-07  6.38237E-03  2.97101E-07  1.55352E-02  2.19180E-02
   3.50000E+04  1.15702E-07  5.64255E-03  2.53172E-07  1.65421E-02  2.21850E-02
   4.00000E+04  8.85841E-08  5.06713E-03  2.20405E-07  1.74051E-02  2.24725E-02
   4.50000E+04  6.99925E-08  4.60548E-03  1.95184E-07  1.81476E-02  2.27534E-02
   5.00000E+04  5.66939E-08  4.22636E-03  1.75255E-07  1.88007E-02  2.30273E-02
   6.00000E+04  3.93707E-08  3.63906E-03  1.45458E-07  1.99082E-02  2.35475E-02
   7.00000E+04  2.89254E-08  3.20368E-03  1.24254E-07  2.08150E-02  2.40188E-02
   8.00000E+04  2.21460E-08  2.86713E-03  1.08410E-07  2.15746E-02  2.44419E-02
   9.00000E+04  1.74981E-08  2.59846E-03  9.62268E-08  2.22153E-02  2.48139E-02
   1.00000E+05  1.41735E-08  2.37875E-03  8.64973E-08  2.27678E-02  2.51467E-02
   1.25000E+05  9.07102E-09  1.97076E-03  6.90176E-08  2.38657E-02  2.58366E-02
   1.50000E+05  6.29932E-09  1.68829E-03  5.73934E-08  2.46963E-02  2.63846E-02
   1.75000E+05  4.62807E-09  1.48036E-03  4.91378E-08  2.53569E-02  2.68373E-02
   2.00000E+05  3.54336E-09  1.32048E-03  4.29696E-08  2.58964E-02  2.72169E-02
   2.50000E+05  2.26776E-09  1.08992E-03  3.43413E-08  2.67072E-02  2.77972E-02
   3.00000E+05  1.57483E-09  9.31065E-04  2.85946E-08  2.73019E-02  2.82330E-02
   3.50000E+05  1.15702E-09  8.14545E-04  2.44939E-08  2.77653E-02  2.85799E-02
   4.00000E+05  8.85841E-10  7.25218E-04  2.14201E-08  2.81371E-02  2.88623E-02
   4.50000E+05  6.99925E-10  6.54411E-04  1.90306E-08  2.84436E-02  2.90981E-02
   5.00000E+05  5.66939E-10  5.96841E-04  1.71200E-08  2.86965E-02  2.92934E-02
   6.00000E+05  3.93707E-10  5.08703E-04  1.42557E-08  2.90839E-02  2.95926E-02
   7.00000E+05  2.89254E-10  4.44231E-04  1.22154E-08  2.93825E-02  2.98267E-02
   8.00000E+05  2.21460E-10  3.94916E-04  1.06877E-08  2.96232E-02  3.00181E-02
   9.00000E+05  1.74981E-10  3.55906E-04  9.49962E-09  2.98196E-02  3.01756E-02
   1.00000E+06  1.41735E-10  3.24236E-04  8.54920E-09  2.99835E-02  3.03077E-02
