"Storage 040622 PM - RawData - C:\Documents and Settings\photometer\Desktop\File 090429 040622 PM.spc"
"Wavelength nm.","T%"
396.00,90.733
396.50,90.599
397.00,90.503
397.50,90.373
398.00,90.250
398.50,90.146
399.00,89.989
399.50,89.862
400.00,89.738
400.50,89.557
401.00,89.398
401.50,89.249
402.00,89.120
402.50,89.009
403.00,88.846
403.50,88.684
404.00,88.586
404.50,88.474
405.00,88.382
405.50,88.235
406.00,88.043
406.50,87.906
407.00,87.802
407.50,87.698
408.00,87.631
408.50,87.581
409.00,87.506
409.50,87.428
410.00,87.329
410.50,87.251
411.00,87.160
411.50,87.045
412.00,87.024
412.50,87.033
413.00,86.978
413.50,86.938
414.00,86.896
414.50,86.862
415.00,86.868
415.50,86.951
416.00,87.039
416.50,87.021
417.00,86.957
417.50,86.964
418.00,87.029
418.50,87.032
419.00,86.984
419.50,87.050
420.00,87.177
420.50,87.212
421.00,87.221
421.50,87.314
422.00,87.386
422.50,87.427
423.00,87.558
423.50,87.668
424.00,87.744
424.50,87.817
425.00,87.909
425.50,88.072
426.00,88.202
426.50,88.263
427.00,88.318
427.50,88.411
428.00,88.525
428.50,88.681
429.00,88.831
429.50,88.943
430.00,89.081
430.50,89.203
431.00,89.359
431.50,89.485
432.00,89.595
432.50,89.731
433.00,89.833
433.50,89.935
434.00,90.071
434.50,90.219
435.00,90.341
435.50,90.477
436.00,90.605
436.50,90.678
437.00,90.756
437.50,90.878
438.00,91.010
438.50,91.116
439.00,91.199
439.50,91.304
440.00,91.415
440.50,91.508
441.00,91.579
441.50,91.676
442.00,91.753
442.50,91.785
443.00,91.861
443.50,91.937
444.00,91.968
444.50,91.988
445.00,92.020
445.50,92.076
446.00,92.107
446.50,92.101
447.00,92.104
447.50,92.110
448.00,92.123
448.50,92.151
449.00,92.116
449.50,92.120
450.00,92.146
450.50,92.113
451.00,92.087
451.50,92.090
452.00,92.079
452.50,92.029
453.00,91.986
453.50,91.930
454.00,91.853
454.50,91.806
455.00,91.765
455.50,91.727
456.00,91.670
456.50,91.585
457.00,91.531
457.50,91.489
458.00,91.409
458.50,91.327
459.00,91.249
459.50,91.165
460.00,91.069
460.50,90.964
461.00,90.900
461.50,90.811
462.00,90.695
462.50,90.627
463.00,90.543
463.50,90.424
464.00,90.324
464.50,90.230
465.00,90.123
465.50,90.022
466.00,89.902
466.50,89.751
467.00,89.639
467.50,89.548
468.00,89.441
468.50,89.340
469.00,89.238
469.50,89.136
470.00,89.035
470.50,88.937
471.00,88.840
471.50,88.737
472.00,88.647
472.50,88.559
473.00,88.455
473.50,88.379
474.00,88.326
474.50,88.258
475.00,88.185
475.50,88.120
476.00,88.052
476.50,87.971
477.00,87.915
477.50,87.880
478.00,87.857
478.50,87.804
479.00,87.726
479.50,87.642
480.00,87.582
480.50,87.564
481.00,87.524
481.50,87.476
482.00,87.460
482.50,87.428
483.00,87.413
483.50,87.396
484.00,87.361
484.50,87.358
485.00,87.344
485.50,87.378
486.00,87.364
486.50,87.340
487.00,87.344
487.50,87.312
488.00,87.292
488.50,87.283
489.00,87.326
489.50,87.369
490.00,87.383
490.50,87.390
491.00,87.421
491.50,87.444
492.00,87.424
492.50,87.450
493.00,87.511
493.50,87.540
494.00,87.587
494.50,87.610
495.00,87.639
495.50,87.723
496.00,87.781
496.50,87.848
497.00,87.915
497.50,87.958
498.00,88.020
