Assume W = 3.636 eV

step size = 4 um				
400um	5 keV	15 keV	25 keV	30 keV
Thickness	#EHP	#EHP	#EHP	#EHP
0.0000E+00	267	34	11	6
4.0000E-04	216	36	13	8
8.0000E-04	171	36	13	9
1.2000E-03	136	36	13	9
1.6000E-03	109	35	13	8
2.0000E-03	86	36	13	9
2.4000E-03	69	34	14	9
2.8000E-03	55	35	13	9
3.2000E-03	44	34	13	9
3.6000E-03	35	34	12	9
4.0000E-03	28	33	13	9
4.4000E-03	22	34	13	9
4.8000E-03	18	33	13	9
5.2000E-03	14	33	12	9
5.6000E-03	11	32	12	9
6.0000E-03	9	32	13	9
6.4000E-03	7	32	12	8
6.8000E-03	6	32	13	9
7.2000E-03	5	31	13	8
7.6000E-03	4	31	12	8
8.0000E-03	3	31	12	8
8.4000E-03	2	30	12	9
8.8000E-03	2	30	12	9
9.2000E-03	1	30	12	9
9.6000E-03	1	30	12	9
1.0000E-02	1	29	12	9
1.0400E-02	1	29	12	9
1.0800E-02	1	29	12	8
1.1200E-02	1	29	12	8
1.1600E-02	0	28	13	9
1.2000E-02	0	28	12	8
1.2400E-02	0	27	13	9
1.2800E-02	0	28	13	9
1.3200E-02	0	28	13	9
1.3600E-02	0	27	12	8
1.4000E-02	0	27	12	9
1.4400E-02	0	26	12	8
1.4800E-02	0	26	12	8
1.5200E-02	0	26	12	9
1.5600E-02	0	25	12	9
1.6000E-02	0	26	12	8
1.6400E-02	0	26	12	8
1.6800E-02	0	25	12	8
1.7200E-02	0	25	12	8
1.7600E-02	0	24	11	8
1.8000E-02	0	25	12	9
1.8400E-02	0	24	11	8
1.8800E-02	0	24	12	8
1.9200E-02	0	23	12	8
1.9600E-02	0	23	12	8
2.0000E-02	0	23	11	8
2.0400E-02	0	23	12	8
2.0800E-02	0	22	12	8
2.1200E-02	0	23	12	8
2.1600E-02	0	22	11	8
2.2000E-02	0	22	12	8
2.2400E-02	0	22	11	9
2.2800E-02	0	21	11	8
2.3200E-02	0	22	11	8
2.3600E-02	0	21	11	8
2.4000E-02	0	21	11	8
2.4400E-02	0	21	11	8
2.4800E-02	0	21	11	8
2.5200E-02	0	21	11	9
2.5600E-02	0	20	11	8
2.6000E-02	0	20	11	8
2.6400E-02	0	20	11	8
2.6800E-02	0	20	12	8
2.7200E-02	0	20	11	8
2.7600E-02	0	20	11	8
2.8000E-02	0	19	11	8
2.8400E-02	0	19	11	8
2.8800E-02	0	19	11	8
2.9200E-02	0	19	11	8
2.9600E-02	0	19	11	8
3.0000E-02	0	19	11	8
3.0400E-02	0	18	11	8
3.0800E-02	0	18	11	8
3.1200E-02	0	18	11	8
3.1600E-02	0	18	12	8
3.2000E-02	0	18	11	8
3.2400E-02	0	17	11	8
3.2800E-02	0	17	11	8
3.3200E-02	0	17	11	8
3.3600E-02	0	17	11	8
3.4000E-02	0	17	11	8
3.4400E-02	0	16	11	8
3.4800E-02	0	16	11	8
3.5200E-02	0	16	11	8
3.5600E-02	0	16	11	8
3.6000E-02	0	16	11	8
3.6400E-02	0	16	11	8
3.6800E-02	0	15	10	8
3.7200E-02	0	15	11	8
3.7600E-02	0	15	11	8
3.8000E-02	0	15	11	7
3.8400E-02	0	15	11	8
3.8800E-02	0	15	11	8
3.9200E-02	0	15	10	8
3.9600E-02	0	13	9	6
