"Storage 011951 PM - RawData - C:\Users\Kyung\Feb102011\UV\File 110210 011951 PM.spc"
"Wavelength nm.","T%"
373.00,78.89099
373.50,78.97339
374.00,78.67889
374.50,78.59192
375.00,78.45764
375.50,78.38745
376.00,78.28827
376.50,78.17230
377.00,78.00598
377.50,77.94952
378.00,77.89764
378.50,77.77710
379.00,77.65808
379.50,77.57263
380.00,77.33917
380.50,77.23083
381.00,77.13623
381.50,77.11029
382.00,76.88293
382.50,76.99890
383.00,76.83411
383.50,76.75781
384.00,76.72729
384.50,76.61896
385.00,76.45416
385.50,76.42212
386.00,76.22528
386.50,76.13983
387.00,76.12000
387.50,76.08643
388.00,75.98267
388.50,75.92316
389.00,75.80566
389.50,75.83923
390.00,75.78125
390.50,75.82550
391.00,75.74463
391.50,75.69275
392.00,75.54474
392.50,75.53558
393.00,75.60730
393.50,75.45929
394.00,75.48828
394.50,75.36011
395.00,75.38605
395.50,75.29449
396.00,75.39368
396.50,75.37842
397.00,75.24567
397.50,75.23041
398.00,75.20142
398.50,75.30975
399.00,75.18311
399.50,75.13885
400.00,75.12207
400.50,75.07935
401.00,75.16174
401.50,75.09003
402.00,75.26093
402.50,75.33112
403.00,75.21362
403.50,75.30212
404.00,75.34790
404.50,75.32349
405.00,75.41504
405.50,75.48828
406.00,75.59357
406.50,75.57526
407.00,75.64392
407.50,75.63324
408.00,75.57526
408.50,75.70343
409.00,75.65765
409.50,75.74005
410.00,75.73700
410.50,75.79498
411.00,75.95367
411.50,75.90790
412.00,75.93079
412.50,76.07574
413.00,76.16425
413.50,76.22833
414.00,76.36261
414.50,76.40686
415.00,76.43890
415.50,76.57928
416.00,76.40228
416.50,76.56555
417.00,76.65253
417.50,76.73187
418.00,76.91803
418.50,77.08130
419.00,77.11945
419.50,77.27966
420.00,77.30713
420.50,77.22778
421.00,77.31171
421.50,77.51312
422.00,77.53754
422.50,77.71606
423.00,77.81677
423.50,77.88696
424.00,78.02277
424.50,78.11890
425.00,78.30963
425.50,78.39813
426.00,78.49884
426.50,78.58429
427.00,78.78876
427.50,78.81775
428.00,79.02222
428.50,79.08783
429.00,79.25568
429.50,79.37927
430.00,79.43573
430.50,79.56390
431.00,79.70123
431.50,79.80042
432.00,79.86603
432.50,80.21545
433.00,80.33905
433.50,80.50232
434.00,80.65948
434.50,80.67322
435.00,80.76172
435.50,80.84106
436.00,81.11267
436.50,81.23474
437.00,81.43158
437.50,81.41174
438.00,81.67267
438.50,81.76575
439.00,81.88019
439.50,81.98700
440.00,82.06329
440.50,82.34863
441.00,82.45544
441.50,82.61414
442.00,82.67212
442.50,82.85370
443.00,82.93457
443.50,83.23517
444.00,83.23212
444.50,83.39081
445.00,83.54492
445.50,83.59680
446.00,83.78143
446.50,83.95538
447.00,84.11407
447.50,84.14764
448.00,84.34296
448.50,84.44061
449.00,84.51233
449.50,84.71069
450.00,84.81140
450.50,84.90906
451.00,84.97620
451.50,85.14404
452.00,85.26154
452.50,85.57739
453.00,85.58960
453.50,85.79559
454.00,85.77576
454.50,85.93750
455.00,86.07178
455.50,86.20605
456.00,86.38306
456.50,86.48529
457.00,86.65314
457.50,86.73248
458.00,86.86371
458.50,86.94611
459.00,87.20703
459.50,87.25128
460.00,87.39624
460.50,87.42371
461.00,87.51678
