"Storage 122532 PM - RawData - C:\Users\Kyung\Sep072011\File 110907 122532 PM.spc"
"Wavelength nm.","T%"
424.00,80.52521
424.50,80.43213
425.00,80.26733
425.50,79.81567
426.00,80.15137
426.50,79.60358
427.00,79.82635
427.50,79.45404
428.00,79.42200
428.50,79.29382
429.00,79.30450
429.50,79.18549
430.00,79.15649
430.50,79.03290
431.00,78.64075
431.50,79.06036
432.00,78.56750
432.50,78.65753
433.00,78.51563
433.50,78.14789
434.00,77.94800
434.50,78.23181
435.00,78.07922
435.50,78.14941
436.00,77.58026
436.50,77.82593
437.00,77.80304
437.50,77.62756
438.00,77.74811
438.50,77.56958
439.00,77.63519
439.50,77.44141
440.00,77.70386
440.50,77.47040
441.00,77.43530
441.50,77.30255
442.00,77.29492
442.50,77.03400
443.00,77.44598
443.50,77.23541
444.00,77.20947
444.50,77.29645
445.00,76.89667
445.50,77.05994
446.00,77.10114
446.50,77.14844
447.00,77.18353
447.50,77.06757
448.00,77.32239
448.50,77.19574
449.00,77.05688
449.50,77.01416
450.00,77.34680
450.50,76.82343
451.00,77.21405
451.50,77.18811
452.00,76.91956
452.50,77.05688
453.00,77.14844
453.50,77.16370
454.00,77.19727
454.50,77.12250
455.00,77.07214
455.50,77.17743
456.00,77.34833
456.50,77.05688
457.00,77.09351
457.50,77.26440
458.00,77.25067
458.50,77.23541
459.00,77.44904
459.50,77.50397
460.00,77.28729
460.50,77.57416
461.00,77.53906
461.50,77.66266
462.00,77.59705
462.50,77.42767
463.00,77.74811
463.50,77.90833
464.00,77.82135
464.50,77.90833
465.00,77.71454
465.50,78.07465
466.00,78.05328
466.50,78.08075
467.00,78.22571
467.50,78.29285
468.00,78.29132
468.50,78.45764
469.00,78.53241
469.50,78.66974
470.00,78.53699
470.50,78.61633
471.00,78.64990
471.50,78.93982
472.00,78.92609
472.50,79.08173
473.00,79.01917
473.50,79.10767
474.00,79.35181
474.50,79.53033
475.00,79.71802
475.50,79.83856
476.00,79.65851
476.50,79.61426
477.00,79.82788
477.50,79.98657
478.00,79.80042
478.50,80.23224
479.00,80.00336
479.50,80.04303
480.00,80.39856
480.50,80.57556
481.00,80.52826
481.50,80.64880
482.00,80.70068
482.50,80.75562
483.00,81.03485
483.50,81.06079
484.00,81.26221
484.50,81.24237
485.00,81.33545
485.50,81.34613
486.00,81.41022
486.50,81.78253
487.00,81.60248
487.50,81.83746
488.00,81.74744
488.50,82.03278
489.00,81.87408
489.50,82.16858
490.00,82.27081
490.50,82.35016
491.00,82.34711
491.50,82.68890
492.00,82.67822
492.50,82.88269
493.00,82.89642
493.50,82.98340
494.00,83.13599
494.50,83.07648
495.00,83.38165
495.50,83.60901
496.00,83.60901
496.50,83.58154
497.00,83.61969
497.50,84.00574
498.00,83.96454
498.50,84.09424
499.00,84.37653
499.50,84.46045
500.00,84.47418
500.50,84.62982
501.00,84.74579
501.50,85.04791
502.00,84.87244
502.50,85.05402
503.00,85.11047
503.50,85.09979
504.00,85.37445
504.50,85.48126
