"Storage 010818 PM - RawData - C:\Users\Celal\File 110210 010818 PM.spc"
"Wavelength nm.","T%"
374.00,82.27081
374.50,82.51648
375.00,82.58972
375.50,82.71179
376.00,82.77588
376.50,82.98950
377.00,83.11005
377.50,83.27332
378.00,83.32367
378.50,83.69446
379.00,83.87299
379.50,83.92029
380.00,84.00116
380.50,84.28040
381.00,84.35211
381.50,84.57184
382.00,84.75342
382.50,84.85565
383.00,84.94568
383.50,85.03265
384.00,85.37445
384.50,85.33020
385.00,85.52399
385.50,85.64453
386.00,85.62927
386.50,86.11908
387.00,86.19385
387.50,86.22437
388.00,86.38611
388.50,86.51886
389.00,86.70807
389.50,86.88507
390.00,87.10480
390.50,87.17194
391.00,87.40234
391.50,87.47559
392.00,87.71667
392.50,87.71973
393.00,87.87079
393.50,88.04474
394.00,88.22632
394.50,88.51318
395.00,88.60168
395.50,88.60626
396.00,88.78937
396.50,88.95264
397.00,89.15405
397.50,89.23950
398.00,89.30664
398.50,89.38293
399.00,89.43481
399.50,89.58435
400.00,89.71710
400.50,89.75983
401.00,89.85901
401.50,90.09705
402.00,90.22217
402.50,90.27863
403.00,90.31830
403.50,90.36865
404.00,90.53802
404.50,90.67841
405.00,90.77454
405.50,90.78522
406.00,90.95459
406.50,91.08887
407.00,91.06140
407.50,91.16211
408.00,91.02936
408.50,91.18347
409.00,91.28723
409.50,91.32996
410.00,91.33759
410.50,91.38947
411.00,91.45508
411.50,91.43066
412.00,91.59088
412.50,91.60461
413.00,91.66565
413.50,91.66718
414.00,91.65039
414.50,91.78009
415.00,91.68701
415.50,91.69159
416.00,91.82739
416.50,91.62292
417.00,91.75568
417.50,91.69617
418.00,91.77856
418.50,91.90216
419.00,91.83502
419.50,91.94794
420.00,91.90063
420.50,91.76178
421.00,91.66565
421.50,91.67175
422.00,91.64734
422.50,91.66718
423.00,91.56189
423.50,91.58630
424.00,91.54510
424.50,91.51611
425.00,91.50391
425.50,91.45203
426.00,91.43982
426.50,91.44440
427.00,91.32996
427.50,91.31622
428.00,91.37421
428.50,91.32385
429.00,91.21094
429.50,91.16516
430.00,91.04614
430.50,90.95764
431.00,90.93323
431.50,90.76538
432.00,90.71960
432.50,90.73181
433.00,90.72723
433.50,90.67383
434.00,90.74860
434.50,90.50446
435.00,90.31830
435.50,90.29694
436.00,90.25574
436.50,90.31830
437.00,90.25421
437.50,89.92920
438.00,89.92615
438.50,89.83002
439.00,89.76898
439.50,89.63623
440.00,89.55231
440.50,89.46533
441.00,89.51111
441.50,89.38599
442.00,89.36462
442.50,89.11591
443.00,89.12048
443.50,89.06250
444.00,88.90228
444.50,88.76190
445.00,88.76343
445.50,88.72070
446.00,88.63220
446.50,88.50555
447.00,88.43536
447.50,88.36212
448.00,88.26599
448.50,88.17749
449.00,88.16833
449.50,87.97913
450.00,87.90588
450.50,87.91199
451.00,87.80518
451.50,87.75940
452.00,87.67242
452.50,87.55035
453.00,87.48932
453.50,87.42218
454.00,87.31079
454.50,87.25433
455.00,87.15820
455.50,87.18414
456.00,87.13989
456.50,87.07123
457.00,86.84998
457.50,86.79962
458.00,86.78284
458.50,86.68671
459.00,86.64856
459.50,86.56616
460.00,86.49597
460.50,86.33575
461.00,86.22589
461.50,86.18622
462.00,86.11603
462.50,86.13739
463.00,86.05652
463.50,86.12823
464.00,86.01227
464.50,85.79865
465.00,85.82001
465.50,85.71472
466.00,85.64911
466.50,85.64606
467.00,85.59570
467.50,85.40344
468.00,85.46448
468.50,85.31799
469.00,85.20203
469.50,85.33783
470.00,85.27069
470.50,85.03113
471.00,85.07080
471.50,85.05707
