"Storage 011426 PM - RawData - C:\Users\Kyung\Feb102011\UV\File 110210 011426 PM.spc"
"Wavelength nm.","T%"
374.00,81.18896
374.50,81.05774
375.00,81.16608
375.50,80.91125
376.00,81.08521
376.50,80.97992
377.00,80.81207
377.50,80.80139
378.00,80.75714
378.50,80.85632
379.00,80.76935
379.50,80.74188
380.00,80.56030
380.50,80.53436
381.00,80.56946
381.50,80.58472
382.00,80.54199
382.50,80.49469
383.00,80.51147
383.50,80.48401
384.00,80.57861
384.50,80.47638
385.00,80.46417
385.50,80.34058
386.00,80.29022
386.50,80.41077
387.00,80.49622
387.50,80.40924
388.00,80.48706
388.50,80.21393
389.00,80.27954
389.50,80.27954
390.00,80.40161
390.50,80.36041
391.00,80.41840
391.50,80.25055
392.00,80.30853
392.50,80.29327
393.00,80.46570
393.50,80.38483
394.00,80.56488
394.50,80.30243
395.00,80.53284
395.50,80.61066
396.00,80.65033
396.50,80.65948
397.00,80.69000
397.50,80.71594
398.00,80.67017
398.50,80.81055
399.00,80.67474
399.50,80.86548
400.00,80.79681
400.50,80.73730
401.00,80.77393
401.50,80.92346
402.00,80.86243
402.50,80.96771
403.00,81.12183
403.50,81.24847
404.00,81.17371
404.50,81.08063
405.00,81.27594
405.50,81.29425
406.00,81.53839
406.50,81.59027
407.00,81.63605
407.50,81.62842
408.00,81.75201
408.50,81.78711
409.00,81.71844
409.50,81.80847
410.00,81.83746
410.50,81.92902
411.00,82.02820
411.50,81.93359
412.00,82.17316
412.50,82.22198
413.00,82.33490
413.50,82.43713
414.00,82.35626
414.50,82.56683
415.00,82.61261
415.50,82.60498
416.00,82.77435
416.50,82.79877
417.00,82.87659
417.50,83.05511
418.00,83.12683
418.50,83.28400
419.00,83.35419
419.50,83.38776
420.00,83.50372
420.50,83.48999
421.00,83.56171
421.50,83.61511
422.00,83.70209
422.50,83.77228
423.00,83.90961
423.50,83.97827
424.00,84.15985
424.50,84.27277
425.00,84.33228
425.50,84.38721
426.00,84.49402
426.50,84.62372
427.00,84.70612
427.50,84.85870
428.00,84.87701
428.50,85.02808
429.00,85.16235
429.50,85.21423
430.00,85.27527
430.50,85.39734
431.00,85.42633
431.50,85.45532
432.00,85.56061
432.50,85.65979
433.00,85.92529
433.50,86.00769
434.00,86.06720
434.50,86.22284
435.00,86.23505
435.50,86.37695
436.00,86.45172
436.50,86.53717
437.00,86.71722
437.50,86.74622
438.00,86.81030
438.50,86.88507
439.00,86.99188
439.50,87.06512
440.00,87.18262
440.50,87.30927
441.00,87.34741
441.50,87.47406
442.00,87.47406
442.50,87.60834
443.00,87.66479
443.50,87.77008
444.00,87.89063
444.50,88.03253
445.00,88.02643
445.50,88.15155
446.00,88.16528
446.50,88.22479
447.00,88.30872
447.50,88.43384
448.00,88.47351
448.50,88.53912
449.00,88.66882
449.50,88.67035
450.00,88.86719
450.50,88.85803
451.00,88.96790
451.50,89.04266
452.00,89.02130
452.50,89.16931
453.00,89.24561
453.50,89.32648
454.00,89.43176
454.50,89.31580
455.00,89.52026
455.50,89.63165
456.00,89.75830
456.50,89.75372
457.00,89.75525
457.50,89.85443
458.00,89.94446
458.50,89.90326
459.00,90.01923
459.50,90.08484
460.00,90.12604
460.50,90.21149
461.00,90.24353
461.50,90.35492
462.00,90.42664
462.50,90.42053
463.00,90.41290
463.50,90.59601
464.00,90.71503
464.50,90.74554
465.00,90.65247
465.50,90.64026
466.00,90.79895
466.50,90.87982
467.00,90.89508
467.50,91.04462
468.00,91.03088
468.50,91.07361
469.00,91.09955
469.50,91.18958
470.00,91.18042
470.50,91.31775
471.00,91.29486
471.50,91.32843
472.00,91.38641
472.50,91.44135
473.00,91.45966
473.50,91.45966
474.00,91.43372
474.50,91.44135
475.00,91.44440
475.50,91.60461
476.00,91.64734
476.50,91.50085
477.00,91.51306
477.50,91.65192
478.00,91.70685
478.50,91.70837
479.00,91.73279
479.50,91.67938
480.00,91.70685
480.50,91.72821
481.00,91.75720
481.50,91.77094
482.00,91.70380
482.50,91.77856
483.00,91.78314
483.50,91.84875
484.00,91.87469
484.50,91.90063
485.00,91.91437
485.50,91.85181
486.00,91.80145
486.50,91.77856
487.00,91.88538
487.50,91.81213
488.00,91.85638
488.50,91.86554
489.00,91.81213
489.50,91.90063
490.00,91.84723
490.50,91.69922
491.00,91.77399
491.50,91.72974
492.00,91.73737
492.50,91.74042
493.00,91.72668
493.50,91.74805
494.00,91.61682
494.50,91.76636
495.00,91.67633
495.50,91.73126
496.00,91.65649
496.50,91.65802
497.00,91.51154
497.50,91.55121
498.00,91.53442
498.50,91.45508
499.00,91.47491
499.50,91.45355
500.00,91.42303
500.50,91.43829
501.00,91.43066
501.50,91.31470
502.00,91.28265
502.50,91.33453
503.00,91.24146
503.50,91.28265
504.00,91.16364
504.50,91.12701
505.00,91.16211
505.50,91.18958
506.00,91.00494
506.50,91.14075
507.00,91.13007
507.50,91.09497
508.00,90.93781
508.50,90.87830
509.00,90.84625
509.50,90.77301
510.00,90.82489
510.50,90.87219
511.00,90.80048
511.50,90.77454
512.00,90.71960
512.50,90.65247
513.00,90.58228
513.50,90.64026
514.00,90.53497
514.50,90.46326
515.00,90.40985
515.50,90.39612
516.00,90.39612
516.50,90.18097
517.00,90.25726
517.50,90.21606
518.00,90.17944
518.50,90.12451
519.00,90.13824
519.50,90.07568
520.00,90.10620
520.50,90.03754
521.00,90.03601
521.50,89.90784
522.00,89.84222
522.50,89.88037
523.00,89.77356
523.50,89.77661
524.00,89.64386
524.50,89.71558
525.00,89.63928
